Tari de destinatie , Ani, UM: Numar persoane, Valoare
Suedia, Anul 1997, Numar persoane, 468
Suedia, Anul 1998, Numar persoane, 129
Suedia, Anul 1999, Numar persoane, 98
Suedia, Anul 2000, Numar persoane, 90
Suedia, Anul 2001, Numar persoane, 51
Suedia, Anul 2002, Numar persoane, 42
Suedia, Anul 2003, Numar persoane, 50
Suedia, Anul 2004, Numar persoane, 62
Suedia, Anul 2005, Numar persoane, 29
Suedia, Anul 2006, Numar persoane, 37
Suedia, Anul 2007, Numar persoane, 2
Suedia, Anul 2008, Numar persoane, 7
Suedia, Anul 2009, Numar persoane, 15
Suedia, Anul 2010, Numar persoane, 17
Suedia, Anul 2011, Numar persoane, 20
Suedia, Anul 2012, Numar persoane, 29
Suedia, Anul 2013, Numar persoane, 44
Suedia, Anul 2014, Numar persoane, 51
Suedia, Anul 2015, Numar persoane, 104
Suedia, Anul 2016, Numar persoane, 167
Suedia, Anul 2017, Numar persoane, 181
Suedia, Anul 2018, Numar persoane, 173
Suedia, Anul 2019, Numar persoane, 216
Suedia, Anul 2020, Numar persoane, 167
Suedia, Anul 2021, Numar persoane, 231
Suedia, Anul 2022, Numar persoane, 234
Ungaria, Anul 1990, Numar persoane, 10635
Ungaria, Anul 1991, Numar persoane, 4427
Ungaria, Anul 1992, Numar persoane, 4726
Ungaria, Anul 1993, Numar persoane, 3674
Ungaria, Anul 1994, Numar persoane, 1779
Ungaria, Anul 1995, Numar persoane, 2509
Ungaria, Anul 1996, Numar persoane, 1485
Ungaria, Anul 1997, Numar persoane, 1244
Ungaria, Anul 1998, Numar persoane, 1306
Ungaria, Anul 1999, Numar persoane, 774
Ungaria, Anul 2000, Numar persoane, 881
Ungaria, Anul 2001, Numar persoane, 680
Ungaria, Anul 2002, Numar persoane, 903
Ungaria, Anul 2003, Numar persoane, 984
Ungaria, Anul 2004, Numar persoane, 1553
Ungaria, Anul 2005, Numar persoane, 1013
Ungaria, Anul 2006, Numar persoane, 900
Ungaria, Anul 2007, Numar persoane, 266
Ungaria, Anul 2008, Numar persoane, 354
Ungaria, Anul 2009, Numar persoane, 331
Ungaria, Anul 2010, Numar persoane, 266
Ungaria, Anul 2011, Numar persoane, 514
Ungaria, Anul 2012, Numar persoane, 355
Ungaria, Anul 2013, Numar persoane, 346
Ungaria, Anul 2014, Numar persoane, 286
Ungaria, Anul 2015, Numar persoane, 420
Ungaria, Anul 2016, Numar persoane, 390
Ungaria, Anul 2017, Numar persoane, 271
Ungaria, Anul 2018, Numar persoane, 304
Ungaria, Anul 2019, Numar persoane, 296
Ungaria, Anul 2020, Numar persoane, 129
Ungaria, Anul 2021, Numar persoane, 186
Ungaria, Anul 2022, Numar persoane, 334
Alte tari, Anul 1990, Numar persoane, 3730
Alte tari, Anul 1991, Numar persoane, 3208
Alte tari, Anul 1992, Numar persoane, 2288
Alte tari, Anul 1993, Numar persoane, 1010
Alte tari, Anul 1994, Numar persoane, 1363
Alte tari, Anul 1995, Numar persoane, 2504
Alte tari, Anul 1996, Numar persoane, 2367
Alte tari, Anul 1997, Numar persoane, 1841
Alte tari, Anul 1998, Numar persoane, 2640
Alte tari, Anul 1999, Numar persoane, 2097
Alte tari, Anul 2000, Numar persoane, 2200
Alte tari, Anul 2001, Numar persoane, 662
Alte tari, Anul 2002, Numar persoane, 609
Alte tari, Anul 2003, Numar persoane, 799
Alte tari, Anul 2004, Numar persoane, 1072
Alte tari, Anul 2005, Numar persoane, 741
Alte tari, Anul 2006, Numar persoane, 1085
Alte tari, Anul 2007, Numar persoane, 776
Alte tari, Anul 2008, Numar persoane, 805
Alte tari, Anul 2009, Numar persoane, 1093
Alte tari, Anul 2010, Numar persoane, 1193
Alte tari, Anul 2011, Numar persoane, 3207
Alte tari, Anul 2012, Numar persoane, 2757
Alte tari, Anul 2013, Numar persoane, 2536
Alte tari, Anul 2014, Numar persoane, 1684
Alte tari, Anul 2015, Numar persoane, 2647
Alte tari, Anul 2016, Numar persoane, 4150
Alte tari, Anul 2017, Numar persoane, 4355
Alte tari, Anul 2018, Numar persoane, 5458
Alte tari, Anul 2019, Numar persoane, 5613
Alte tari, Anul 2020, Numar persoane, 4899
Alte tari, Anul 2021, Numar persoane, 10049
Alte tari, Anul 2022, Numar persoane, 15032
