Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Urban, Harghita, Anul 1992, Numar, 262
Urban, Harghita, Anul 1993, Numar, 288
Urban, Harghita, Anul 1994, Numar, 348
Urban, Harghita, Anul 1995, Numar, 305
Urban, Harghita, Anul 1996, Numar, 339
Urban, Harghita, Anul 1997, Numar, 287
Urban, Harghita, Anul 1998, Numar, 307
Urban, Harghita, Anul 1999, Numar, 262
Urban, Harghita, Anul 2000, Numar, 218
Urban, Harghita, Anul 2001, Numar, 234
Urban, Harghita, Anul 2002, Numar, 225
Urban, Harghita, Anul 2003, Numar, 269
Urban, Harghita, Anul 2004, Numar, 235
Urban, Harghita, Anul 2005, Numar, 239
Urban, Harghita, Anul 2006, Numar, 245
Urban, Harghita, Anul 2007, Numar, 231
Urban, Harghita, Anul 2008, Numar, 226
Urban, Harghita, Anul 2009, Numar, 218
Urban, Harghita, Anul 2010, Numar, 227
Urban, Harghita, Anul 2011, Numar, 259
Urban, Harghita, Anul 2012, Numar, 240
Urban, Harghita, Anul 2013, Numar, 204
Urban, Harghita, Anul 2014, Numar, 174
Urban, Harghita, Anul 2015, Numar, 202
Urban, Harghita, Anul 2016, Numar, 193
Urban, Harghita, Anul 2017, Numar, 209
Urban, Harghita, Anul 2018, Numar, 191
Urban, Harghita, Anul 2019, Numar, 207
Urban, Harghita, Anul 2020, Numar, 168
Urban, Harghita, Anul 2021, Numar, 184
Urban, Harghita, Anul 2022, Numar, 155
Urban, Mures, Anul 1990, Numar, 563
Urban, Mures, Anul 1991, Numar, 707
Urban, Mures, Anul 1992, Numar, 486
Urban, Mures, Anul 1993, Numar, 655
Urban, Mures, Anul 1994, Numar, 689
Urban, Mures, Anul 1995, Numar, 561
Urban, Mures, Anul 1996, Numar, 606
Urban, Mures, Anul 1997, Numar, 549
Urban, Mures, Anul 1998, Numar, 731
Urban, Mures, Anul 1999, Numar, 603
Urban, Mures, Anul 2000, Numar, 499
Urban, Mures, Anul 2001, Numar, 446
Urban, Mures, Anul 2002, Numar, 512
Urban, Mures, Anul 2003, Numar, 534
Urban, Mures, Anul 2004, Numar, 611
Urban, Mures, Anul 2005, Numar, 526
Urban, Mures, Anul 2006, Numar, 561
Urban, Mures, Anul 2007, Numar, 545
Urban, Mures, Anul 2008, Numar, 590
Urban, Mures, Anul 2009, Numar, 514
Urban, Mures, Anul 2010, Numar, 603
Urban, Mures, Anul 2011, Numar, 513
Urban, Mures, Anul 2012, Numar, 520
Urban, Mures, Anul 2013, Numar, 372
Urban, Mures, Anul 2014, Numar, 416
Urban, Mures, Anul 2015, Numar, 452
Urban, Mures, Anul 2016, Numar, 435
Urban, Mures, Anul 2017, Numar, 420
Urban, Mures, Anul 2018, Numar, 412
Urban, Mures, Anul 2019, Numar, 447
Urban, Mures, Anul 2020, Numar, 340
Urban, Mures, Anul 2021, Numar, 438
Urban, Mures, Anul 2022, Numar, 263
Urban, Sibiu, Anul 1990, Numar, 625
Urban, Sibiu, Anul 1991, Numar, 706
Urban, Sibiu, Anul 1992, Numar, 649
Urban, Sibiu, Anul 1993, Numar, 595
Urban, Sibiu, Anul 1994, Numar, 818
Urban, Sibiu, Anul 1995, Numar, 784
Urban, Sibiu, Anul 1996, Numar, 755
Urban, Sibiu, Anul 1997, Numar, 799
Urban, Sibiu, Anul 1998, Numar, 936
Urban, Sibiu, Anul 1999, Numar, 771
Urban, Sibiu, Anul 2000, Numar, 729
Urban, Sibiu, Anul 2001, Numar, 709
Urban, Sibiu, Anul 2002, Numar, 696
Urban, Sibiu, Anul 2003, Numar, 742
Urban, Sibiu, Anul 2004, Numar, 642
Urban, Sibiu, Anul 2005, Numar, 727
Urban, Sibiu, Anul 2006, Numar, 593
Urban, Sibiu, Anul 2007, Numar, 605
Urban, Sibiu, Anul 2008, Numar, 564
Urban, Sibiu, Anul 2009, Numar, 513
Urban, Sibiu, Anul 2010, Numar, 660
Urban, Sibiu, Anul 2011, Numar, 694
Urban, Sibiu, Anul 2012, Numar, 627
Urban, Sibiu, Anul 2013, Numar, 418
Urban, Sibiu, Anul 2014, Numar, 429
Urban, Sibiu, Anul 2015, Numar, 536
Urban, Sibiu, Anul 2016, Numar, 564
Urban, Sibiu, Anul 2017, Numar, 598
Urban, Sibiu, Anul 2018, Numar, 539
Urban, Sibiu, Anul 2019, Numar, 585
Urban, Sibiu, Anul 2020, Numar, 429
Urban, Sibiu, Anul 2021, Numar, 488
Urban, Sibiu, Anul 2022, Numar, 384
Urban, Bacau, Anul 1990, Numar, 765
Urban, Bacau, Anul 1991, Numar, 757
Urban, Bacau, Anul 1992, Numar, 637
Urban, Bacau, Anul 1993, Numar, 814
Urban, Bacau, Anul 1994, Numar, 1068
Urban, Bacau, Anul 1995, Numar, 960
Urban, Bacau, Anul 1996, Numar, 944
Urban, Bacau, Anul 1997, Numar, 1055
Urban, Bacau, Anul 1998, Numar, 1402
Urban, Bacau, Anul 1999, Numar, 1202
Urban, Bacau, Anul 2000, Numar, 1081
Urban, Bacau, Anul 2001, Numar, 985
Urban, Bacau, Anul 2002, Numar, 1081
Urban, Bacau, Anul 2003, Numar, 1035
Urban, Bacau, Anul 2004, Numar, 1168
Urban, Bacau, Anul 2005, Numar, 946
Urban, Bacau, Anul 2006, Numar, 980
Urban, Bacau, Anul 2007, Numar, 890
Urban, Bacau, Anul 2008, Numar, 1135
Urban, Bacau, Anul 2009, Numar, 787
Urban, Bacau, Anul 2010, Numar, 863
Urban, Bacau, Anul 2011, Numar, 852
Urban, Bacau, Anul 2012, Numar, 689
Urban, Bacau, Anul 2013, Numar, 647
Urban, Bacau, Anul 2014, Numar, 622
Urban, Bacau, Anul 2015, Numar, 583
Urban, Bacau, Anul 2016, Numar, 575
Urban, Bacau, Anul 2017, Numar, 610
Urban, Bacau, Anul 2018, Numar, 638
Urban, Bacau, Anul 2019, Numar, 582
Urban, Bacau, Anul 2020, Numar, 471
Urban, Bacau, Anul 2021, Numar, 497
Urban, Bacau, Anul 2022, Numar, 432
Urban, Botosani, Anul 1990, Numar, 290
Urban, Botosani, Anul 1991, Numar, 295
Urban, Botosani, Anul 1992, Numar, 202
Urban, Botosani, Anul 1993, Numar, 278
Urban, Botosani, Anul 1994, Numar, 460
Urban, Botosani, Anul 1995, Numar, 377
Urban, Botosani, Anul 1996, Numar, 332
Urban, Botosani, Anul 1997, Numar, 392
Urban, Botosani, Anul 1998, Numar, 425
Urban, Botosani, Anul 1999, Numar, 331
Urban, Botosani, Anul 2000, Numar, 389
Urban, Botosani, Anul 2001, Numar, 315
Urban, Botosani, Anul 2002, Numar, 392
Urban, Botosani, Anul 2003, Numar, 399
Urban, Botosani, Anul 2004, Numar, 428
Urban, Botosani, Anul 2005, Numar, 454
Urban, Botosani, Anul 2006, Numar, 473
Urban, Botosani, Anul 2007, Numar, 454
Urban, Botosani, Anul 2008, Numar, 428
Urban, Botosani, Anul 2009, Numar, 388
Urban, Botosani, Anul 2010, Numar, 436
Urban, Botosani, Anul 2011, Numar, 375
Urban, Botosani, Anul 2012, Numar, 281
Urban, Botosani, Anul 2013, Numar, 317
Urban, Botosani, Anul 2014, Numar, 432
Urban, Botosani, Anul 2015, Numar, 507
Urban, Botosani, Anul 2016, Numar, 376
Urban, Botosani, Anul 2017, Numar, 501
Urban, Botosani, Anul 2018, Numar, 353
Urban, Botosani, Anul 2019, Numar, 359
Urban, Botosani, Anul 2020, Numar, 197
Urban, Botosani, Anul 2021, Numar, 236
Urban, Botosani, Anul 2022, Numar, 250
Urban, Iasi, Anul 1990, Numar, 965
Urban, Iasi, Anul 1991, Numar, 987
Urban, Iasi, Anul 1992, Numar, 568
Urban, Iasi, Anul 1993, Numar, 597
Urban, Iasi, Anul 1994, Numar, 1081
Urban, Iasi, Anul 1995, Numar, 947
Urban, Iasi, Anul 1996, Numar, 967
Urban, Iasi, Anul 1997, Numar, 976
Urban, Iasi, Anul 1998, Numar, 1170
Urban, Iasi, Anul 1999, Numar, 946
Urban, Iasi, Anul 2000, Numar, 833
Urban, Iasi, Anul 2001, Numar, 745
Urban, Iasi, Anul 2002, Numar, 601
Urban, Iasi, Anul 2003, Numar, 548
Urban, Iasi, Anul 2004, Numar, 577
Urban, Iasi, Anul 2005, Numar, 429
Urban, Iasi, Anul 2006, Numar, 336
Urban, Iasi, Anul 2007, Numar, 287
Urban, Iasi, Anul 2008, Numar, 393
Urban, Iasi, Anul 2009, Numar, 405
Urban, Iasi, Anul 2010, Numar, 520
Urban, Iasi, Anul 2011, Numar, 540
Urban, Iasi, Anul 2012, Numar, 474
Urban, Iasi, Anul 2013, Numar, 707
