Niveluri de educatie, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Satu Mare, Anul 2001, Numar persoane, 5194
Total, Total, Satu Mare, Anul 2002, Numar persoane, 4797
Total, Total, Satu Mare, Anul 2003, Numar persoane, 4835
Total, Total, Satu Mare, Anul 2004, Numar persoane, 4836
Total, Total, Satu Mare, Anul 2005, Numar persoane, 4742
Total, Total, Satu Mare, Anul 2006, Numar persoane, 4715
Total, Total, Satu Mare, Anul 2007, Numar persoane, 4651
Total, Total, Satu Mare, Anul 2008, Numar persoane, 4681
Total, Total, Satu Mare, Anul 2009, Numar persoane, 4592
Total, Total, Satu Mare, Anul 2010, Numar persoane, 4295
Total, Total, Satu Mare, Anul 2011, Numar persoane, 4053
Total, Total, Satu Mare, Anul 2012, Numar persoane, 4148
Total, Total, Satu Mare, Anul 2013, Numar persoane, 4220
Total, Total, Satu Mare, Anul 2014, Numar persoane, 4038
Total, Total, Satu Mare, Anul 2015, Numar persoane, 4022
Total, Total, Satu Mare, Anul 2016, Numar persoane, 3928
Total, Total, Satu Mare, Anul 2017, Numar persoane, 3934
Total, Total, Satu Mare, Anul 2018, Numar persoane, 3876
Total, Total, Satu Mare, Anul 2019, Numar persoane, 3881
Total, Total, Satu Mare, Anul 2020, Numar persoane, 3806
Total, Total, Satu Mare, Anul 2021, Numar persoane, 3838
Total, Total, Salaj, Anul 1990, Numar persoane, 3429
Total, Total, Salaj, Anul 1991, Numar persoane, 3454
Total, Total, Salaj, Anul 1992, Numar persoane, 3591
Total, Total, Salaj, Anul 1993, Numar persoane, 3606
Total, Total, Salaj, Anul 1994, Numar persoane, 3634
Total, Total, Salaj, Anul 1995, Numar persoane, 3736
Total, Total, Salaj, Anul 1996, Numar persoane, 3808
Total, Total, Salaj, Anul 1997, Numar persoane, 3743
Total, Total, Salaj, Anul 1998, Numar persoane, 3812
Total, Total, Salaj, Anul 1999, Numar persoane, 3694
Total, Total, Salaj, Anul 2000, Numar persoane, 3658
