Niveluri de educatie, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Prahova, Anul 2001, Numar persoane, 8844
Total, Total, Prahova, Anul 2002, Numar persoane, 8445
Total, Total, Prahova, Anul 2003, Numar persoane, 8452
Total, Total, Prahova, Anul 2004, Numar persoane, 8750
Total, Total, Prahova, Anul 2005, Numar persoane, 8643
Total, Total, Prahova, Anul 2006, Numar persoane, 8439
Total, Total, Prahova, Anul 2007, Numar persoane, 8334
Total, Total, Prahova, Anul 2008, Numar persoane, 8295
Total, Total, Prahova, Anul 2009, Numar persoane, 8130
Total, Total, Prahova, Anul 2010, Numar persoane, 7907
Total, Total, Prahova, Anul 2011, Numar persoane, 7509
Total, Total, Prahova, Anul 2012, Numar persoane, 7581
Total, Total, Prahova, Anul 2013, Numar persoane, 7400
Total, Total, Prahova, Anul 2014, Numar persoane, 7198
Total, Total, Prahova, Anul 2015, Numar persoane, 7080
Total, Total, Prahova, Anul 2016, Numar persoane, 7048
Total, Total, Prahova, Anul 2017, Numar persoane, 7076
Total, Total, Prahova, Anul 2018, Numar persoane, 7098
Total, Total, Prahova, Anul 2019, Numar persoane, 6975
Total, Total, Prahova, Anul 2020, Numar persoane, 6960
Total, Total, Prahova, Anul 2021, Numar persoane, 7053
Total, Total, Teleorman, Anul 1990, Numar persoane, 4747
Total, Total, Teleorman, Anul 1991, Numar persoane, 4710
Total, Total, Teleorman, Anul 1992, Numar persoane, 4659
Total, Total, Teleorman, Anul 1993, Numar persoane, 4593
Total, Total, Teleorman, Anul 1994, Numar persoane, 4782
Total, Total, Teleorman, Anul 1995, Numar persoane, 4901
Total, Total, Teleorman, Anul 1996, Numar persoane, 4855
Total, Total, Teleorman, Anul 1997, Numar persoane, 4977
Total, Total, Teleorman, Anul 1998, Numar persoane, 4916
Total, Total, Teleorman, Anul 1999, Numar persoane, 4765
Total, Total, Teleorman, Anul 2000, Numar persoane, 4639
Total, Total, Teleorman, Anul 2001, Numar persoane, 4885
Total, Total, Teleorman, Anul 2002, Numar persoane, 4729
Total, Total, Teleorman, Anul 2003, Numar persoane, 4738
Total, Total, Teleorman, Anul 2004, Numar persoane, 4965
Total, Total, Teleorman, Anul 2005, Numar persoane, 4942
Total, Total, Teleorman, Anul 2006, Numar persoane, 4950
Total, Total, Teleorman, Anul 2007, Numar persoane, 4969
Total, Total, Teleorman, Anul 2008, Numar persoane, 5024
Total, Total, Teleorman, Anul 2009, Numar persoane, 4505
Total, Total, Teleorman, Anul 2010, Numar persoane, 3908
Total, Total, Teleorman, Anul 2011, Numar persoane, 3833
Total, Total, Teleorman, Anul 2012, Numar persoane, 3883
Total, Total, Teleorman, Anul 2013, Numar persoane, 3857
Total, Total, Teleorman, Anul 2014, Numar persoane, 3726
Total, Total, Teleorman, Anul 2015, Numar persoane, 3405
Total, Total, Teleorman, Anul 2016, Numar persoane, 3450
Total, Total, Teleorman, Anul 2017, Numar persoane, 3412
Total, Total, Teleorman, Anul 2018, Numar persoane, 3249
Total, Total, Teleorman, Anul 2019, Numar persoane, 3187
Total, Total, Teleorman, Anul 2020, Numar persoane, 3253
Total, Total, Teleorman, Anul 2021, Numar persoane, 3250
Total, Total, Ilfov, Anul 1996, Numar persoane, 2640
Total, Total, Ilfov, Anul 1997, Numar persoane, 2659
Total, Total, Ilfov, Anul 1998, Numar persoane, 2551
Total, Total, Ilfov, Anul 1999, Numar persoane, 2564
Total, Total, Ilfov, Anul 2000, Numar persoane, 2552
Total, Total, Ilfov, Anul 2001, Numar persoane, 2631
Total, Total, Ilfov, Anul 2002, Numar persoane, 2471
Total, Total, Ilfov, Anul 2003, Numar persoane, 2399
Total, Total, Ilfov, Anul 2004, Numar persoane, 2506
Total, Total, Ilfov, Anul 2005, Numar persoane, 2514
Total, Total, Ilfov, Anul 2006, Numar persoane, 2451
Total, Total, Ilfov, Anul 2007, Numar persoane, 2526
Total, Total, Ilfov, Anul 2008, Numar persoane, 2363
Total, Total, Ilfov, Anul 2009, Numar persoane, 2364
Total, Total, Ilfov, Anul 2010, Numar persoane, 2265
Total, Total, Ilfov, Anul 2011, Numar persoane, 2255
Total, Total, Ilfov, Anul 2012, Numar persoane, 2350
Total, Total, Ilfov, Anul 2013, Numar persoane, 2646
Total, Total, Ilfov, Anul 2014, Numar persoane, 2776
Total, Total, Ilfov, Anul 2015, Numar persoane, 2762
Total, Total, Ilfov, Anul 2016, Numar persoane, 2747
Total, Total, Ilfov, Anul 2017, Numar persoane, 2845
Total, Total, Ilfov, Anul 2018, Numar persoane, 2939
Total, Total, Ilfov, Anul 2019, Numar persoane, 3111
Total, Total, Ilfov, Anul 2020, Numar persoane, 3243
Total, Total, Ilfov, Anul 2021, Numar persoane, 3385
Total, Total, Municipiul Bucuresti, Anul 1996, Numar persoane, 32289
Total, Total, Municipiul Bucuresti, Anul 1997, Numar persoane, 30430
Total, Total, Municipiul Bucuresti, Anul 1998, Numar persoane, 30185
Total, Total, Municipiul Bucuresti, Anul 1999, Numar persoane, 30085
Total, Total, Municipiul Bucuresti, Anul 2000, Numar persoane, 28515
Total, Total, Municipiul Bucuresti, Anul 2001, Numar persoane, 29250
Total, Total, Municipiul Bucuresti, Anul 2002, Numar persoane, 28515
Total, Total, Municipiul Bucuresti, Anul 2003, Numar persoane, 27200
Total, Total, Municipiul Bucuresti, Anul 2004, Numar persoane, 28643
Total, Total, Municipiul Bucuresti, Anul 2005, Numar persoane, 29179
Total, Total, Municipiul Bucuresti, Anul 2006, Numar persoane, 28384
Total, Total, Municipiul Bucuresti, Anul 2007, Numar persoane, 29192
Total, Total, Municipiul Bucuresti, Anul 2008, Numar persoane, 28551
Total, Total, Municipiul Bucuresti, Anul 2009, Numar persoane, 27757
Total, Total, Municipiul Bucuresti, Anul 2010, Numar persoane, 26303
Total, Total, Municipiul Bucuresti, Anul 2011, Numar persoane, 25265
Total, Total, Municipiul Bucuresti, Anul 2012, Numar persoane, 25093
Total, Total, Municipiul Bucuresti, Anul 2013, Numar persoane, 25408
Total, Total, Municipiul Bucuresti, Anul 2014, Numar persoane, 25189
Total, Total, Municipiul Bucuresti, Anul 2015, Numar persoane, 25172
Total, Total, Municipiul Bucuresti, Anul 2016, Numar persoane, 25362
Total, Total, Municipiul Bucuresti, Anul 2017, Numar persoane, 25902
Total, Total, Municipiul Bucuresti, Anul 2018, Numar persoane, 26494
Total, Total, Municipiul Bucuresti, Anul 2019, Numar persoane, 26598
Total, Total, Municipiul Bucuresti, Anul 2020, Numar persoane, 26675
Total, Total, Municipiul Bucuresti, Anul 2021, Numar persoane, 27243
Total, Total, Dolj, Anul 1990, Numar persoane, 9037
Total, Total, Dolj, Anul 1991, Numar persoane, 9020
Total, Total, Dolj, Anul 1992, Numar persoane, 9467
Total, Total, Dolj, Anul 1993, Numar persoane, 9737
Total, Total, Dolj, Anul 1994, Numar persoane, 10159
Total, Total, Dolj, Anul 1995, Numar persoane, 10588
Total, Total, Dolj, Anul 1996, Numar persoane, 11008
Total, Total, Dolj, Anul 1997, Numar persoane, 11144
Total, Total, Dolj, Anul 1998, Numar persoane, 11209
Total, Total, Dolj, Anul 1999, Numar persoane, 10876
Total, Total, Dolj, Anul 2000, Numar persoane, 10402
Total, Total, Dolj, Anul 2001, Numar persoane, 10679
Total, Total, Dolj, Anul 2002, Numar persoane, 10318
Total, Total, Dolj, Anul 2003, Numar persoane, 9960
Total, Total, Dolj, Anul 2004, Numar persoane, 9958
Total, Total, Dolj, Anul 2005, Numar persoane, 9837
Total, Total, Dolj, Anul 2006, Numar persoane, 9854
Total, Total, Dolj, Anul 2007, Numar persoane, 9642
Total, Total, Dolj, Anul 2008, Numar persoane, 9372
Total, Total, Dolj, Anul 2009, Numar persoane, 9582
Total, Total, Dolj, Anul 2010, Numar persoane, 8708
Total, Total, Dolj, Anul 2011, Numar persoane, 8470
Total, Total, Dolj, Anul 2012, Numar persoane, 8245
Total, Total, Dolj, Anul 2013, Numar persoane, 8304
Total, Total, Dolj, Anul 2014, Numar persoane, 8445
Total, Total, Dolj, Anul 2015, Numar persoane, 8154
Total, Total, Dolj, Anul 2016, Numar persoane, 8042
Total, Total, Dolj, Anul 2017, Numar persoane, 7953
Total, Total, Dolj, Anul 2018, Numar persoane, 7876
Total, Total, Dolj, Anul 2019, Numar persoane, 7997
Total, Total, Dolj, Anul 2020, Numar persoane, 7981
Total, Total, Dolj, Anul 2021, Numar persoane, 7877
Total, Total, Gorj, Anul 1990, Numar persoane, 4892
Total, Total, Gorj, Anul 1991, Numar persoane, 4653
Total, Total, Gorj, Anul 1992, Numar persoane, 4843
Total, Total, Gorj, Anul 1993, Numar persoane, 4925
Total, Total, Gorj, Anul 1994, Numar persoane, 5034
Total, Total, Gorj, Anul 1995, Numar persoane, 5283
Total, Total, Gorj, Anul 1996, Numar persoane, 5409
Total, Total, Gorj, Anul 1997, Numar persoane, 5282
Total, Total, Gorj, Anul 1998, Numar persoane, 5404
Total, Total, Gorj, Anul 1999, Numar persoane, 5134
Total, Total, Gorj, Anul 2000, Numar persoane, 5133
Total, Total, Gorj, Anul 2001, Numar persoane, 5259
Total, Total, Gorj, Anul 2002, Numar persoane, 4950
Total, Total, Gorj, Anul 2003, Numar persoane, 4911
Total, Total, Gorj, Anul 2004, Numar persoane, 4985
Total, Total, Gorj, Anul 2005, Numar persoane, 4944
Total, Total, Gorj, Anul 2006, Numar persoane, 4850
Total, Total, Gorj, Anul 2007, Numar persoane, 4963
Total, Total, Gorj, Anul 2008, Numar persoane, 5015
Total, Total, Gorj, Anul 2009, Numar persoane, 4736
Total, Total, Gorj, Anul 2010, Numar persoane, 4409
Total, Total, Gorj, Anul 2011, Numar persoane, 4347
Total, Total, Gorj, Anul 2012, Numar persoane, 4448
Total, Total, Gorj, Anul 2013, Numar persoane, 4541
Total, Total, Gorj, Anul 2014, Numar persoane, 4460
Total, Total, Gorj, Anul 2015, Numar persoane, 4296
Total, Total, Gorj, Anul 2016, Numar persoane, 4162
Total, Total, Gorj, Anul 2017, Numar persoane, 4084
Total, Total, Gorj, Anul 2018, Numar persoane, 3983
Total, Total, Gorj, Anul 2019, Numar persoane, 3891
Total, Total, Gorj, Anul 2020, Numar persoane, 3809
Total, Total, Gorj, Anul 2021, Numar persoane, 3841
Total, Total, Mehedinti, Anul 1990, Numar persoane, 3766
Total, Total, Mehedinti, Anul 1991, Numar persoane, 3707
Total, Total, Mehedinti, Anul 1992, Numar persoane, 3865
Total, Total, Mehedinti, Anul 1993, Numar persoane, 3827
Total, Total, Mehedinti, Anul 1994, Numar persoane, 3928
Total, Total, Mehedinti, Anul 1995, Numar persoane, 4012
Total, Total, Mehedinti, Anul 1996, Numar persoane, 4023
Total, Total, Mehedinti, Anul 1997, Numar persoane, 3985
Total, Total, Mehedinti, Anul 1998, Numar persoane, 3960
Total, Total, Mehedinti, Anul 1999, Numar persoane, 3923
Total, Total, Mehedinti, Anul 2000, Numar persoane, 3846
Total, Total, Mehedinti, Anul 2001, Numar persoane, 3922
Total, Total, Mehedinti, Anul 2002, Numar persoane, 3908
Total, Total, Mehedinti, Anul 2003, Numar persoane, 3768
Total, Total, Mehedinti, Anul 2004, Numar persoane, 3782
Total, Total, Mehedinti, Anul 2005, Numar persoane, 3519
Total, Total, Mehedinti, Anul 2006, Numar persoane, 3535
Total, Total, Mehedinti, Anul 2007, Numar persoane, 3547
Total, Total, Mehedinti, Anul 2008, Numar persoane, 3519
Total, Total, Mehedinti, Anul 2009, Numar persoane, 3370
Total, Total, Mehedinti, Anul 2010, Numar persoane, 3195
Total, Total, Mehedinti, Anul 2011, Numar persoane, 3159
Total, Total, Mehedinti, Anul 2012, Numar persoane, 3005
Total, Total, Mehedinti, Anul 2013, Numar persoane, 3022
Total, Total, Mehedinti, Anul 2014, Numar persoane, 2977
Total, Total, Mehedinti, Anul 2015, Numar persoane, 2823
Total, Total, Mehedinti, Anul 2016, Numar persoane, 2782
Total, Total, Mehedinti, Anul 2017, Numar persoane, 2796
Total, Total, Mehedinti, Anul 2018, Numar persoane, 2705
Total, Total, Mehedinti, Anul 2019, Numar persoane, 2680
Total, Total, Mehedinti, Anul 2020, Numar persoane, 2732
Total, Total, Mehedinti, Anul 2021, Numar persoane, 2703
Total, Total, Olt, Anul 1990, Numar persoane, 5775
Total, Total, Olt, Anul 1991, Numar persoane, 5647
Total, Total, Olt, Anul 1992, Numar persoane, 5830
Total, Total, Olt, Anul 1993, Numar persoane, 5901
Total, Total, Olt, Anul 1994, Numar persoane, 5950
Total, Total, Olt, Anul 1995, Numar persoane, 6167
Total, Total, Olt, Anul 1996, Numar persoane, 6266
Total, Total, Olt, Anul 1997, Numar persoane, 6149
Total, Total, Olt, Anul 1998, Numar persoane, 6334
Total, Total, Olt, Anul 1999, Numar persoane, 6107
Total, Total, Olt, Anul 2000, Numar persoane, 6284
Total, Total, Olt, Anul 2001, Numar persoane, 6250
Total, Total, Olt, Anul 2002, Numar persoane, 5842
Total, Total, Olt, Anul 2003, Numar persoane, 5515
Total, Total, Olt, Anul 2004, Numar persoane, 5693
Total, Total, Olt, Anul 2005, Numar persoane, 5666
Total, Total, Olt, Anul 2006, Numar persoane, 5746
Total, Total, Olt, Anul 2007, Numar persoane, 5645
Total, Total, Olt, Anul 2008, Numar persoane, 5662
Total, Total, Olt, Anul 2009, Numar persoane, 5235
Total, Total, Olt, Anul 2010, Numar persoane, 4876
Total, Total, Olt, Anul 2011, Numar persoane, 5099
Total, Total, Olt, Anul 2012, Numar persoane, 4817
Total, Total, Olt, Anul 2013, Numar persoane, 4865
Total, Total, Olt, Anul 2014, Numar persoane, 4611
Total, Total, Olt, Anul 2015, Numar persoane, 4430
Total, Total, Olt, Anul 2016, Numar persoane, 4242
Total, Total, Olt, Anul 2017, Numar persoane, 4302
Total, Total, Olt, Anul 2018, Numar persoane, 4090
Total, Total, Olt, Anul 2019, Numar persoane, 3998
Total, Total, Olt, Anul 2020, Numar persoane, 4043
Total, Total, Olt, Anul 2021, Numar persoane, 4026
Total, Total, Valcea, Anul 1990, Numar persoane, 5462
Total, Total, Valcea, Anul 1991, Numar persoane, 5321
Total, Total, Valcea, Anul 1992, Numar persoane, 5596
Total, Total, Valcea, Anul 1993, Numar persoane, 5175
Total, Total, Valcea, Anul 1994, Numar persoane, 5376
Total, Total, Valcea, Anul 1995, Numar persoane, 5612
Total, Total, Valcea, Anul 1996, Numar persoane, 5522
Total, Total, Valcea, Anul 1997, Numar persoane, 5461
Total, Total, Valcea, Anul 1998, Numar persoane, 5673
Total, Total, Valcea, Anul 1999, Numar persoane, 5459
Total, Total, Valcea, Anul 2000, Numar persoane, 5403
Total, Total, Valcea, Anul 2001, Numar persoane, 5530
Total, Total, Valcea, Anul 2002, Numar persoane, 5254
Total, Total, Valcea, Anul 2003, Numar persoane, 5020
Total, Total, Valcea, Anul 2004, Numar persoane, 5163
Total, Total, Valcea, Anul 2005, Numar persoane, 5505
Total, Total, Valcea, Anul 2006, Numar persoane, 5435
Total, Total, Valcea, Anul 2007, Numar persoane, 5327
Total, Total, Valcea, Anul 2008, Numar persoane, 5400
Total, Total, Valcea, Anul 2009, Numar persoane, 5273
Total, Total, Valcea, Anul 2010, Numar persoane, 4931
Total, Total, Valcea, Anul 2011, Numar persoane, 4632
Total, Total, Valcea, Anul 2012, Numar persoane, 4577
Total, Total, Valcea, Anul 2013, Numar persoane, 4705
Total, Total, Valcea, Anul 2014, Numar persoane, 4552
Total, Total, Valcea, Anul 2015, Numar persoane, 4371
Total, Total, Valcea, Anul 2016, Numar persoane, 4134
Total, Total, Valcea, Anul 2017, Numar persoane, 4063
Total, Total, Valcea, Anul 2018, Numar persoane, 4127
Total, Total, Valcea, Anul 2019, Numar persoane, 3976
Total, Total, Valcea, Anul 2020, Numar persoane, 4016
Total, Total, Valcea, Anul 2021, Numar persoane, 4097
Total, Total, Arad, Anul 1990, Numar persoane, 4798
Total, Total, Arad, Anul 1991, Numar persoane, 5128
Total, Total, Arad, Anul 1992, Numar persoane, 5257
Total, Total, Arad, Anul 1993, Numar persoane, 5516
Total, Total, Arad, Anul 1994, Numar persoane, 5563
Total, Total, Arad, Anul 1995, Numar persoane, 5876
Total, Total, Arad, Anul 1996, Numar persoane, 6091
Total, Total, Arad, Anul 1997, Numar persoane, 6298
Total, Total, Arad, Anul 1998, Numar persoane, 6693
Total, Total, Arad, Anul 1999, Numar persoane, 6255
Total, Total, Arad, Anul 2000, Numar persoane, 6019
Total, Total, Arad, Anul 2001, Numar persoane, 5863
Total, Total, Arad, Anul 2002, Numar persoane, 5953
Total, Total, Arad, Anul 2003, Numar persoane, 5710
Total, Total, Arad, Anul 2004, Numar persoane, 5658
Total, Total, Arad, Anul 2005, Numar persoane, 5562
Total, Total, Arad, Anul 2006, Numar persoane, 5500
Total, Total, Arad, Anul 2007, Numar persoane, 5931
Total, Total, Arad, Anul 2008, Numar persoane, 5559
Total, Total, Arad, Anul 2009, Numar persoane, 5290
Total, Total, Arad, Anul 2010, Numar persoane, 5040
Total, Total, Arad, Anul 2011, Numar persoane, 4747
Total, Total, Arad, Anul 2012, Numar persoane, 5174
Total, Total, Arad, Anul 2013, Numar persoane, 5244
Total, Total, Arad, Anul 2014, Numar persoane, 5210
Total, Total, Arad, Anul 2015, Numar persoane, 4981
Total, Total, Arad, Anul 2016, Numar persoane, 4902
Total, Total, Arad, Anul 2017, Numar persoane, 4920
Total, Total, Arad, Anul 2018, Numar persoane, 4909
Total, Total, Arad, Anul 2019, Numar persoane, 4836
Total, Total, Arad, Anul 2020, Numar persoane, 4850
Total, Total, Arad, Anul 2021, Numar persoane, 4901
Total, Total, Caras-Severin, Anul 1990, Numar persoane, 4321
Total, Total, Caras-Severin, Anul 1991, Numar persoane, 4146
Total, Total, Caras-Severin, Anul 1992, Numar persoane, 4540
Total, Total, Caras-Severin, Anul 1993, Numar persoane, 4607
Total, Total, Caras-Severin, Anul 1994, Numar persoane, 4547
Total, Total, Caras-Severin, Anul 1995, Numar persoane, 4474
Total, Total, Caras-Severin, Anul 1996, Numar persoane, 4734
Total, Total, Caras-Severin, Anul 1997, Numar persoane, 4521
Total, Total, Caras-Severin, Anul 1998, Numar persoane, 4630
Total, Total, Caras-Severin, Anul 1999, Numar persoane, 4526
Total, Total, Caras-Severin, Anul 2000, Numar persoane, 4366
Total, Total, Caras-Severin, Anul 2001, Numar persoane, 4345
Total, Total, Caras-Severin, Anul 2002, Numar persoane, 4050
Total, Total, Caras-Severin, Anul 2003, Numar persoane, 4016
Total, Total, Caras-Severin, Anul 2004, Numar persoane, 3942
Total, Total, Caras-Severin, Anul 2005, Numar persoane, 3975
Total, Total, Caras-Severin, Anul 2006, Numar persoane, 3936
Total, Total, Caras-Severin, Anul 2007, Numar persoane, 4089
Total, Total, Caras-Severin, Anul 2008, Numar persoane, 3965
Total, Total, Caras-Severin, Anul 2009, Numar persoane, 3933
Total, Total, Caras-Severin, Anul 2010, Numar persoane, 3583
Total, Total, Caras-Severin, Anul 2011, Numar persoane, 3750
Total, Total, Caras-Severin, Anul 2012, Numar persoane, 3790
Total, Total, Caras-Severin, Anul 2013, Numar persoane, 3778
Total, Total, Caras-Severin, Anul 2014, Numar persoane, 3616
Total, Total, Caras-Severin, Anul 2015, Numar persoane, 3445
Total, Total, Caras-Severin, Anul 2016, Numar persoane, 3390
Total, Total, Caras-Severin, Anul 2017, Numar persoane, 3357
Total, Total, Caras-Severin, Anul 2018, Numar persoane, 3296
Total, Total, Caras-Severin, Anul 2019, Numar persoane, 3297
Total, Total, Caras-Severin, Anul 2020, Numar persoane, 3218
Total, Total, Caras-Severin, Anul 2021, Numar persoane, 3141
Total, Total, Hunedoara, Anul 1990, Numar persoane, 5233
Total, Total, Hunedoara, Anul 1991, Numar persoane, 5281
Total, Total, Hunedoara, Anul 1992, Numar persoane, 5247
Total, Total, Hunedoara, Anul 1993, Numar persoane, 5444
Total, Total, Hunedoara, Anul 1994, Numar persoane, 5676
Total, Total, Hunedoara, Anul 1995, Numar persoane, 6166
Total, Total, Hunedoara, Anul 1996, Numar persoane, 6438
Total, Total, Hunedoara, Anul 1997, Numar persoane, 6279
Total, Total, Hunedoara, Anul 1998, Numar persoane, 6373
Total, Total, Hunedoara, Anul 1999, Numar persoane, 5989
Total, Total, Hunedoara, Anul 2000, Numar persoane, 5945
Total, Total, Hunedoara, Anul 2001, Numar persoane, 6288
Total, Total, Hunedoara, Anul 2002, Numar persoane, 5855
Total, Total, Hunedoara, Anul 2003, Numar persoane, 5621
Total, Total, Hunedoara, Anul 2004, Numar persoane, 5841
Total, Total, Hunedoara, Anul 2005, Numar persoane, 5622
Total, Total, Hunedoara, Anul 2006, Numar persoane, 5387
Total, Total, Hunedoara, Anul 2007, Numar persoane, 5399
Total, Total, Hunedoara, Anul 2008, Numar persoane, 5307
Total, Total, Hunedoara, Anul 2009, Numar persoane, 5243
Total, Total, Hunedoara, Anul 2010, Numar persoane, 4861
Total, Total, Hunedoara, Anul 2011, Numar persoane, 4754
Total, Total, Hunedoara, Anul 2012, Numar persoane, 4542
Total, Total, Hunedoara, Anul 2013, Numar persoane, 4613
Total, Total, Hunedoara, Anul 2014, Numar persoane, 4427
Total, Total, Hunedoara, Anul 2015, Numar persoane, 4224
Total, Total, Hunedoara, Anul 2016, Numar persoane, 4047
Total, Total, Hunedoara, Anul 2017, Numar persoane, 4000
Total, Total, Hunedoara, Anul 2018, Numar persoane, 3842
Total, Total, Hunedoara, Anul 2019, Numar persoane, 3857
Total, Total, Hunedoara, Anul 2020, Numar persoane, 3804
Total, Total, Hunedoara, Anul 2021, Numar persoane, 3875
Total, Total, Timis, Anul 1990, Numar persoane, 9211
Total, Total, Timis, Anul 1991, Numar persoane, 9940
Total, Total, Timis, Anul 1992, Numar persoane, 10424
Total, Total, Timis, Anul 1993, Numar persoane, 10835
Total, Total, Timis, Anul 1994, Numar persoane, 11301
Total, Total, Timis, Anul 1995, Numar persoane, 11224
Total, Total, Timis, Anul 1996, Numar persoane, 10734
Total, Total, Timis, Anul 1997, Numar persoane, 11791
Total, Total, Timis, Anul 1998, Numar persoane, 11916
Total, Total, Timis, Anul 1999, Numar persoane, 11292
Total, Total, Timis, Anul 2000, Numar persoane, 11218
Total, Total, Timis, Anul 2001, Numar persoane, 11717
Total, Total, Timis, Anul 2002, Numar persoane, 11022
Total, Total, Timis, Anul 2003, Numar persoane, 11057
Total, Total, Timis, Anul 2004, Numar persoane, 11124
Total, Total, Timis, Anul 2005, Numar persoane, 10833
Total, Total, Timis, Anul 2006, Numar persoane, 10500
Total, Total, Timis, Anul 2007, Numar persoane, 10842
Total, Total, Timis, Anul 2008, Numar persoane, 10966
Total, Total, Timis, Anul 2009, Numar persoane, 9872
Total, Total, Timis, Anul 2010, Numar persoane, 9318
Total, Total, Timis, Anul 2011, Numar persoane, 8947
Total, Total, Timis, Anul 2012, Numar persoane, 8913
Total, Total, Timis, Anul 2013, Numar persoane, 9642
Total, Total, Timis, Anul 2014, Numar persoane, 9424
Total, Total, Timis, Anul 2015, Numar persoane, 9347
Total, Total, Timis, Anul 2016, Numar persoane, 9423
Total, Total, Timis, Anul 2017, Numar persoane, 9521
Total, Total, Timis, Anul 2018, Numar persoane, 9677
Total, Total, Timis, Anul 2019, Numar persoane, 9832
Total, Total, Timis, Anul 2020, Numar persoane, 9871
Total, Total, Timis, Anul 2021, Numar persoane, 9952
