Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Sibiu, Anul 2007, Numar, 6
Sibiu, Anul 2008, Numar, 4
Sibiu, Anul 2009, Numar, 6
Sibiu, Anul 2010, Numar, 1
Sibiu, Anul 2011, Numar, 2
Sibiu, Anul 2013, Numar, 1
Sibiu, Anul 2014, Numar, 1
Sibiu, Anul 2018, Numar, 1
Sibiu, Anul 2019, Numar, 1
Sibiu, Anul 2020, Numar, 0
Sibiu, Anul 2021, Numar, 0
Bacau, Anul 1992, Numar, 14
Bacau, Anul 1993, Numar, 12
Bacau, Anul 1994, Numar, 8
Bacau, Anul 1995, Numar, 7
Bacau, Anul 1996, Numar, 12
Bacau, Anul 1998, Numar, 6
Bacau, Anul 1999, Numar, 27
Bacau, Anul 2000, Numar, 5
Bacau, Anul 2001, Numar, 4
Bacau, Anul 2003, Numar, 5
Bacau, Anul 2004, Numar, 1
Bacau, Anul 2005, Numar, 3
Bacau, Anul 2007, Numar, 7
Bacau, Anul 2008, Numar, 7
Bacau, Anul 2009, Numar, 1
Bacau, Anul 2010, Numar, 1
Bacau, Anul 2012, Numar, 2
Bacau, Anul 2013, Numar, 1
Bacau, Anul 2015, Numar, 1
Bacau, Anul 2016, Numar, 1
Bacau, Anul 2017, Numar, 1
Bacau, Anul 2019, Numar, 2
Bacau, Anul 2020, Numar, 1
Bacau, Anul 2021, Numar, 0
Botosani, Anul 1993, Numar, 1
Botosani, Anul 1998, Numar, 5
Botosani, Anul 1999, Numar, 26
Botosani, Anul 2000, Numar, 3
Botosani, Anul 2002, Numar, 3
Botosani, Anul 2003, Numar, 2
Botosani, Anul 2004, Numar, 2
Botosani, Anul 2005, Numar, 3
Botosani, Anul 2010, Numar, 1
Botosani, Anul 2014, Numar, 1
Botosani, Anul 2015, Numar, 1
Botosani, Anul 2016, Numar, 1
Botosani, Anul 2017, Numar, 2
Iasi, Anul 1992, Numar, 8
Iasi, Anul 1993, Numar, 13
Iasi, Anul 1994, Numar, 10
Iasi, Anul 1995, Numar, 6
Iasi, Anul 1996, Numar, 4
Iasi, Anul 1997, Numar, 4
Iasi, Anul 1998, Numar, 4
Iasi, Anul 1999, Numar, 6
Iasi, Anul 2000, Numar, 6
Iasi, Anul 2001, Numar, 2
Iasi, Anul 2002, Numar, 6
Iasi, Anul 2003, Numar, 4
Iasi, Anul 2004, Numar, 4
Iasi, Anul 2005, Numar, 4
Iasi, Anul 2006, Numar, 5
Iasi, Anul 2007, Numar, 2
Iasi, Anul 2008, Numar, 2
Iasi, Anul 2010, Numar, 4
Iasi, Anul 2016, Numar, 1
Iasi, Anul 2017, Numar, 1
Iasi, Anul 2018, Numar, 1
Neamt, Anul 1992, Numar, 3
Neamt, Anul 1994, Numar, 3
Neamt, Anul 1995, Numar, 1
Neamt, Anul 1996, Numar, 1
Neamt, Anul 1997, Numar, 7
Neamt, Anul 1998, Numar, 11
Neamt, Anul 1999, Numar, 18
Neamt, Anul 2000, Numar, 1
Neamt, Anul 2001, Numar, 1
Neamt, Anul 2002, Numar, 1
Neamt, Anul 2003, Numar, 2
Neamt, Anul 2009, Numar, 2
Neamt, Anul 2010, Numar, 1
Neamt, Anul 2011, Numar, 2
Neamt, Anul 2016, Numar, 1
Suceava, Anul 1992, Numar, 4
Suceava, Anul 1993, Numar, 4
Suceava, Anul 1999, Numar, 1
Suceava, Anul 2003, Numar, 1
Suceava, Anul 2008, Numar, 1
Suceava, Anul 2010, Numar, 1
Suceava, Anul 2011, Numar, 1
Suceava, Anul 2018, Numar, 1
Vaslui, Anul 1992, Numar, 6
Vaslui, Anul 1993, Numar, 8
Vaslui, Anul 1994, Numar, 6
Vaslui, Anul 1995, Numar, 13
Vaslui, Anul 1996, Numar, 5
Vaslui, Anul 1997, Numar, 9
Vaslui, Anul 1998, Numar, 11
Vaslui, Anul 1999, Numar, 16
Vaslui, Anul 2000, Numar, 2
Vaslui, Anul 2001, Numar, 1
Vaslui, Anul 2002, Numar, 4
Vaslui, Anul 2003, Numar, 2
Vaslui, Anul 2004, Numar, 3
Vaslui, Anul 2005, Numar, 1
Vaslui, Anul 2006, Numar, 5
Vaslui, Anul 2007, Numar, 6
Vaslui, Anul 2008, Numar, 1
Vaslui, Anul 2015, Numar, 1
Vaslui, Anul 2019, Numar, 1
Vaslui, Anul 2020, Numar, 0
Vaslui, Anul 2021, Numar, 0
Braila, Anul 1992, Numar, 2
Braila, Anul 1993, Numar, 7
Braila, Anul 1994, Numar, 11
Braila, Anul 1995, Numar, 6
Braila, Anul 1996, Numar, 3
Braila, Anul 1997, Numar, 4
Braila, Anul 1998, Numar, 3
Braila, Anul 1999, Numar, 5
Braila, Anul 2000, Numar, 2
Braila, Anul 2001, Numar, 1
Braila, Anul 2002, Numar, 3
Braila, Anul 2003, Numar, 2
Braila, Anul 2004, Numar, 2
Braila, Anul 2006, Numar, 1
Braila, Anul 2007, Numar, 1
Braila, Anul 2008, Numar, 2
Braila, Anul 2009, Numar, 1
Braila, Anul 2010, Numar, 1
Braila, Anul 2012, Numar, 1
Braila, Anul 2014, Numar, 1
Braila, Anul 2015, Numar, 1
Braila, Anul 2016, Numar, 1
Braila, Anul 2018, Numar, 1
Buzau, Anul 1992, Numar, 2
Buzau, Anul 1993, Numar, 10
Buzau, Anul 1994, Numar, 11
Buzau, Anul 1995, Numar, 7
Buzau, Anul 1996, Numar, 10
Buzau, Anul 1997, Numar, 2
Buzau, Anul 1998, Numar, 11
Buzau, Anul 1999, Numar, 15
Buzau, Anul 2000, Numar, 5
Buzau, Anul 2001, Numar, 1
Buzau, Anul 2002, Numar, 1
Buzau, Anul 2003, Numar, 2
Buzau, Anul 2004, Numar, 3
Buzau, Anul 2005, Numar, 1
Buzau, Anul 2006, Numar, 2
Buzau, Anul 2007, Numar, 1
Buzau, Anul 2008, Numar, 1
Buzau, Anul 2009, Numar, 2
Buzau, Anul 2010, Numar, 1
Buzau, Anul 2017, Numar, 1
Constanta, Anul 1992, Numar, 6
Constanta, Anul 1993, Numar, 11
Constanta, Anul 1994, Numar, 26
Constanta, Anul 1995, Numar, 22
Constanta, Anul 1996, Numar, 23
Constanta, Anul 1997, Numar, 15
Constanta, Anul 1998, Numar, 16
Constanta, Anul 1999, Numar, 20
Constanta, Anul 2000, Numar, 7
Constanta, Anul 2001, Numar, 6
Constanta, Anul 2002, Numar, 6
Constanta, Anul 2003, Numar, 1
Constanta, Anul 2004, Numar, 5
Constanta, Anul 2005, Numar, 6
Constanta, Anul 2006, Numar, 4
Constanta, Anul 2007, Numar, 4
Constanta, Anul 2008, Numar, 4
Constanta, Anul 2009, Numar, 6
Constanta, Anul 2010, Numar, 2
Constanta, Anul 2011, Numar, 2
Constanta, Anul 2012, Numar, 1
Constanta, Anul 2013, Numar, 1
Constanta, Anul 2014, Numar, 2
Constanta, Anul 2016, Numar, 2
Constanta, Anul 2017, Numar, 4
Constanta, Anul 2018, Numar, 2
Constanta, Anul 2019, Numar, 2
Constanta, Anul 2020, Numar, 0
Constanta, Anul 2021, Numar, 0
Galati, Anul 1992, Numar, 3
Galati, Anul 1993, Numar, 4
Galati, Anul 1994, Numar, 5
Galati, Anul 1995, Numar, 2
Galati, Anul 1996, Numar, 2
Galati, Anul 1997, Numar, 3
Galati, Anul 1998, Numar, 3
Galati, Anul 1999, Numar, 7
Galati, Anul 2000, Numar, 7
Galati, Anul 2001, Numar, 1
Galati, Anul 2002, Numar, 1
Galati, Anul 2003, Numar, 5
Galati, Anul 2004, Numar, 2
Galati, Anul 2005, Numar, 5
Galati, Anul 2006, Numar, 4
Galati, Anul 2007, Numar, 4
Galati, Anul 2008, Numar, 3
Galati, Anul 2009, Numar, 3
Galati, Anul 2010, Numar, 3
Galati, Anul 2011, Numar, 5
Galati, Anul 2012, Numar, 1
Galati, Anul 2015, Numar, 1
Galati, Anul 2016, Numar, 1
Galati, Anul 2019, Numar, 1
Galati, Anul 2020, Numar, 1
Galati, Anul 2021, Numar, 0
Tulcea, Anul 1992, Numar, 3
Tulcea, Anul 1993, Numar, 11
Tulcea, Anul 1994, Numar, 5
Tulcea, Anul 1995, Numar, 4
Tulcea, Anul 1996, Numar, 7
Tulcea, Anul 1998, Numar, 5
Tulcea, Anul 1999, Numar, 8
Tulcea, Anul 2000, Numar, 4
Tulcea, Anul 2001, Numar, 1
Tulcea, Anul 2002, Numar, 1
Tulcea, Anul 2003, Numar, 2
Tulcea, Anul 2004, Numar, 1
Tulcea, Anul 2007, Numar, 6
Tulcea, Anul 2008, Numar, 1
Tulcea, Anul 2009, Numar, 1
Tulcea, Anul 2010, Numar, 1
Tulcea, Anul 2012, Numar, 1
Tulcea, Anul 2013, Numar, 1
Tulcea, Anul 2014, Numar, 1
Tulcea, Anul 2015, Numar, 2
Vrancea, Anul 1992, Numar, 7
Vrancea, Anul 1993, Numar, 7
Vrancea, Anul 1994, Numar, 9
Vrancea, Anul 1995, Numar, 3
Vrancea, Anul 1996, Numar, 4
Vrancea, Anul 1997, Numar, 5
Vrancea, Anul 1998, Numar, 11
Vrancea, Anul 1999, Numar, 7
Vrancea, Anul 2000, Numar, 3
Vrancea, Anul 2001, Numar, 1
Vrancea, Anul 2002, Numar, 3
Vrancea, Anul 2003, Numar, 1
Vrancea, Anul 2005, Numar, 1
Vrancea, Anul 2014, Numar, 1
Vrancea, Anul 2015, Numar, 2
Arges, Anul 1993, Numar, 2
Arges, Anul 1994, Numar, 4
Arges, Anul 1995, Numar, 7
Arges, Anul 1996, Numar, 10
Arges, Anul 1997, Numar, 6
Arges, Anul 1998, Numar, 11
Arges, Anul 1999, Numar, 28
Arges, Anul 2000, Numar, 6
Arges, Anul 2001, Numar, 6
Arges, Anul 2002, Numar, 3
Arges, Anul 2003, Numar, 3
Arges, Anul 2004, Numar, 1
Arges, Anul 2005, Numar, 4
Arges, Anul 2006, Numar, 4
Arges, Anul 2007, Numar, 6
Arges, Anul 2008, Numar, 6
Arges, Anul 2009, Numar, 5
Arges, Anul 2010, Numar, 4
Arges, Anul 2012, Numar, 2
Arges, Anul 2013, Numar, 1
Arges, Anul 2015, Numar, 4
Arges, Anul 2016, Numar, 2
Arges, Anul 2017, Numar, 2
Arges, Anul 2018, Numar, 1
Arges, Anul 2019, Numar, 3
Arges, Anul 2020, Numar, 0
Arges, Anul 2021, Numar, 0
Calarasi, Anul 1992, Numar, 2
Calarasi, Anul 1993, Numar, 3
Calarasi, Anul 1994, Numar, 5
Calarasi, Anul 1995, Numar, 7
Calarasi, Anul 1997, Numar, 6
Calarasi, Anul 1998, Numar, 4
Calarasi, Anul 1999, Numar, 6
Calarasi, Anul 2000, Numar, 1
Calarasi, Anul 2001, Numar, 1
Calarasi, Anul 2002, Numar, 1
Calarasi, Anul 2003, Numar, 1
Calarasi, Anul 2004, Numar, 2
Calarasi, Anul 2005, Numar, 1
Calarasi, Anul 2006, Numar, 2
Calarasi, Anul 2007, Numar, 4
Calarasi, Anul 2008, Numar, 1
Calarasi, Anul 2010, Numar, 1
Calarasi, Anul 2019, Numar, 1
Calarasi, Anul 2020, Numar, 0
Calarasi, Anul 2021, Numar, 0
Dambovita, Anul 1995, Numar, 1
Dambovita, Anul 1996, Numar, 1
Dambovita, Anul 1997, Numar, 10
Dambovita, Anul 1998, Numar, 14
Dambovita, Anul 1999, Numar, 17
Dambovita, Anul 2000, Numar, 2
Dambovita, Anul 2001, Numar, 1
Dambovita, Anul 2002, Numar, 6
Dambovita, Anul 2003, Numar, 4
Dambovita, Anul 2004, Numar, 1
Dambovita, Anul 2005, Numar, 5
Dambovita, Anul 2006, Numar, 7
Dambovita, Anul 2007, Numar, 5
Dambovita, Anul 2008, Numar, 3
Dambovita, Anul 2009, Numar, 2
Dambovita, Anul 2010, Numar, 2
Dambovita, Anul 2013, Numar, 4
Dambovita, Anul 2014, Numar, 4
Dambovita, Anul 2015, Numar, 1
Dambovita, Anul 2016, Numar, 4
Dambovita, Anul 2017, Numar, 1
Dambovita, Anul 2018, Numar, 2
Dambovita, Anul 2019, Numar, 1
Dambovita, Anul 2020, Numar, 1
Dambovita, Anul 2021, Numar, 1
Giurgiu, Anul 1992, Numar, 1
Giurgiu, Anul 1995, Numar, 1
Giurgiu, Anul 1997, Numar, 1
Giurgiu, Anul 1998, Numar, 4
Giurgiu, Anul 1999, Numar, 8
Giurgiu, Anul 2000, Numar, 2
Giurgiu, Anul 2013, Numar, 1
Ialomita, Anul 1992, Numar, 3
Ialomita, Anul 1994, Numar, 1
Ialomita, Anul 1995, Numar, 1
Ialomita, Anul 1996, Numar, 1
Ialomita, Anul 1998, Numar, 1
Ialomita, Anul 1999, Numar, 11
Ialomita, Anul 2000, Numar, 4
Ialomita, Anul 2001, Numar, 2
