Niveluri de educatie, Judete, Localitati , Ani, UM: Numar, Valoare
Total, Braila, TOTAL, Anul 2009, Numar, 140
Total, Braila, TOTAL, Anul 2010, Numar, 137
Total, Braila, TOTAL, Anul 2011, Numar, 125
Total, Braila, TOTAL, Anul 2012, Numar, 116
Total, Braila, TOTAL, Anul 2013, Numar, 111
Total, Braila, TOTAL, Anul 2014, Numar, 111
Total, Braila, TOTAL, Anul 2015, Numar, 111
Total, Braila, TOTAL, Anul 2016, Numar, 110
Total, Braila, TOTAL, Anul 2017, Numar, 107
Total, Braila, TOTAL, Anul 2018, Numar, 106
Total, Braila, TOTAL, Anul 2019, Numar, 106
Total, Braila, TOTAL, Anul 2020, Numar, 104
Total, Braila, TOTAL, Anul 2021, Numar, 101
Total, Buzau, TOTAL, Anul 1992, Numar, 789
Total, Buzau, TOTAL, Anul 1993, Numar, 803
Total, Buzau, TOTAL, Anul 1994, Numar, 823
Total, Buzau, TOTAL, Anul 1995, Numar, 846
Total, Buzau, TOTAL, Anul 1996, Numar, 862
Total, Buzau, TOTAL, Anul 1997, Numar, 850
Total, Buzau, TOTAL, Anul 1998, Numar, 852
Total, Buzau, TOTAL, Anul 1999, Numar, 810
Total, Buzau, TOTAL, Anul 2000, Numar, 767
Total, Buzau, TOTAL, Anul 2001, Numar, 764
Total, Buzau, TOTAL, Anul 2002, Numar, 762
Total, Buzau, TOTAL, Anul 2003, Numar, 759
Total, Buzau, TOTAL, Anul 2004, Numar, 749
Total, Buzau, TOTAL, Anul 2005, Numar, 725
Total, Buzau, TOTAL, Anul 2006, Numar, 198
Total, Buzau, TOTAL, Anul 2007, Numar, 201
Total, Buzau, TOTAL, Anul 2008, Numar, 203
Total, Buzau, TOTAL, Anul 2009, Numar, 198
Total, Buzau, TOTAL, Anul 2010, Numar, 165
Total, Buzau, TOTAL, Anul 2011, Numar, 159
Total, Buzau, TOTAL, Anul 2012, Numar, 157
Total, Buzau, TOTAL, Anul 2013, Numar, 157
Total, Buzau, TOTAL, Anul 2014, Numar, 155
Total, Buzau, TOTAL, Anul 2015, Numar, 151
Total, Buzau, TOTAL, Anul 2016, Numar, 148
Total, Buzau, TOTAL, Anul 2017, Numar, 148
Total, Buzau, TOTAL, Anul 2018, Numar, 149
Total, Buzau, TOTAL, Anul 2019, Numar, 148
Total, Buzau, TOTAL, Anul 2020, Numar, 150
Total, Buzau, TOTAL, Anul 2021, Numar, 148
Total, Caras-Severin, TOTAL, Anul 1992, Numar, 608
Total, Caras-Severin, TOTAL, Anul 1993, Numar, 603
Total, Caras-Severin, TOTAL, Anul 1994, Numar, 598
Total, Caras-Severin, TOTAL, Anul 1995, Numar, 602
Total, Caras-Severin, TOTAL, Anul 1996, Numar, 628
Total, Caras-Severin, TOTAL, Anul 1997, Numar, 613
Total, Caras-Severin, TOTAL, Anul 1998, Numar, 610
Total, Caras-Severin, TOTAL, Anul 1999, Numar, 559
Total, Caras-Severin, TOTAL, Anul 2000, Numar, 548
Total, Caras-Severin, TOTAL, Anul 2001, Numar, 545
Total, Caras-Severin, TOTAL, Anul 2002, Numar, 541
Total, Caras-Severin, TOTAL, Anul 2003, Numar, 424
Total, Caras-Severin, TOTAL, Anul 2004, Numar, 423
Total, Caras-Severin, TOTAL, Anul 2005, Numar, 186
Total, Caras-Severin, TOTAL, Anul 2006, Numar, 178
Total, Caras-Severin, TOTAL, Anul 2007, Numar, 146
Total, Caras-Severin, TOTAL, Anul 2008, Numar, 146
Total, Caras-Severin, TOTAL, Anul 2009, Numar, 143
Total, Caras-Severin, TOTAL, Anul 2010, Numar, 138
Total, Caras-Severin, TOTAL, Anul 2011, Numar, 129
Total, Caras-Severin, TOTAL, Anul 2012, Numar, 127
Total, Caras-Severin, TOTAL, Anul 2013, Numar, 124
Total, Caras-Severin, TOTAL, Anul 2014, Numar, 123
Total, Caras-Severin, TOTAL, Anul 2015, Numar, 123
Total, Caras-Severin, TOTAL, Anul 2016, Numar, 122
Total, Caras-Severin, TOTAL, Anul 2017, Numar, 123
Total, Caras-Severin, TOTAL, Anul 2018, Numar, 123
Total, Caras-Severin, TOTAL, Anul 2019, Numar, 122
Total, Caras-Severin, TOTAL, Anul 2020, Numar, 120
Total, Caras-Severin, TOTAL, Anul 2021, Numar, 120
Total, Calarasi, TOTAL, Anul 1992, Numar, 383
Total, Calarasi, TOTAL, Anul 1993, Numar, 378
Total, Calarasi, TOTAL, Anul 1994, Numar, 378
Total, Calarasi, TOTAL, Anul 1995, Numar, 381
Total, Calarasi, TOTAL, Anul 1996, Numar, 387
Total, Calarasi, TOTAL, Anul 1997, Numar, 385
