Niveluri de educatie, Judete, Localitati , Ani, UM: Numar, Valoare
Total, Salaj, TOTAL, Anul 2006, Numar, 153
Total, Salaj, TOTAL, Anul 2007, Numar, 131
Total, Salaj, TOTAL, Anul 2008, Numar, 135
Total, Salaj, TOTAL, Anul 2009, Numar, 133
Total, Salaj, TOTAL, Anul 2010, Numar, 119
Total, Salaj, TOTAL, Anul 2011, Numar, 109
Total, Salaj, TOTAL, Anul 2012, Numar, 97
Total, Salaj, TOTAL, Anul 2013, Numar, 113
Total, Salaj, TOTAL, Anul 2014, Numar, 113
Total, Salaj, TOTAL, Anul 2015, Numar, 113
Total, Salaj, TOTAL, Anul 2016, Numar, 114
Total, Salaj, TOTAL, Anul 2017, Numar, 111
Total, Salaj, TOTAL, Anul 2018, Numar, 111
Total, Salaj, TOTAL, Anul 2019, Numar, 111
Total, Salaj, TOTAL, Anul 2020, Numar, 111
Total, Salaj, TOTAL, Anul 2021, Numar, 110
Total, Sibiu, TOTAL, Anul 1992, Numar, 544
Total, Sibiu, TOTAL, Anul 1993, Numar, 537
Total, Sibiu, TOTAL, Anul 1994, Numar, 539
Total, Sibiu, TOTAL, Anul 1995, Numar, 545
Total, Sibiu, TOTAL, Anul 1996, Numar, 551
Total, Sibiu, TOTAL, Anul 1997, Numar, 535
Total, Sibiu, TOTAL, Anul 1998, Numar, 536
Total, Sibiu, TOTAL, Anul 1999, Numar, 472
Total, Sibiu, TOTAL, Anul 2000, Numar, 466
Total, Sibiu, TOTAL, Anul 2001, Numar, 471
Total, Sibiu, TOTAL, Anul 2002, Numar, 469
Total, Sibiu, TOTAL, Anul 2003, Numar, 249
Total, Sibiu, TOTAL, Anul 2004, Numar, 251
Total, Sibiu, TOTAL, Anul 2005, Numar, 188
Total, Sibiu, TOTAL, Anul 2006, Numar, 187
Total, Sibiu, TOTAL, Anul 2007, Numar, 190
Total, Sibiu, TOTAL, Anul 2008, Numar, 182
Total, Sibiu, TOTAL, Anul 2009, Numar, 190
Total, Sibiu, TOTAL, Anul 2010, Numar, 176
Total, Sibiu, TOTAL, Anul 2011, Numar, 172
Total, Sibiu, TOTAL, Anul 2012, Numar, 180
Total, Sibiu, TOTAL, Anul 2013, Numar, 178
Total, Sibiu, TOTAL, Anul 2014, Numar, 179
Total, Sibiu, TOTAL, Anul 2015, Numar, 179
Total, Sibiu, TOTAL, Anul 2016, Numar, 177
Total, Sibiu, TOTAL, Anul 2017, Numar, 178
Total, Sibiu, TOTAL, Anul 2018, Numar, 180
Total, Sibiu, TOTAL, Anul 2019, Numar, 179
Total, Sibiu, TOTAL, Anul 2020, Numar, 176
Total, Sibiu, TOTAL, Anul 2021, Numar, 173
Total, Suceava, TOTAL, Anul 1992, Numar, 1038
Total, Suceava, TOTAL, Anul 1993, Numar, 1035
Total, Suceava, TOTAL, Anul 1994, Numar, 1036
Total, Suceava, TOTAL, Anul 1995, Numar, 1051
Total, Suceava, TOTAL, Anul 1996, Numar, 1044
Total, Suceava, TOTAL, Anul 1997, Numar, 1047
Total, Suceava, TOTAL, Anul 1998, Numar, 1054
Total, Suceava, TOTAL, Anul 1999, Numar, 991
Total, Suceava, TOTAL, Anul 2000, Numar, 490
Total, Suceava, TOTAL, Anul 2001, Numar, 485
Total, Suceava, TOTAL, Anul 2002, Numar, 491
Total, Suceava, TOTAL, Anul 2003, Numar, 365
Total, Suceava, TOTAL, Anul 2004, Numar, 365
Total, Suceava, TOTAL, Anul 2005, Numar, 240
Total, Suceava, TOTAL, Anul 2006, Numar, 232
Total, Suceava, TOTAL, Anul 2007, Numar, 237
Total, Suceava, TOTAL, Anul 2008, Numar, 236
Total, Suceava, TOTAL, Anul 2009, Numar, 238
Total, Suceava, TOTAL, Anul 2010, Numar, 234
Total, Suceava, TOTAL, Anul 2011, Numar, 225
Total, Suceava, TOTAL, Anul 2012, Numar, 228
Total, Suceava, TOTAL, Anul 2013, Numar, 232
Total, Suceava, TOTAL, Anul 2014, Numar, 240
Total, Suceava, TOTAL, Anul 2015, Numar, 235
Total, Suceava, TOTAL, Anul 2016, Numar, 229
Total, Suceava, TOTAL, Anul 2017, Numar, 226
Total, Suceava, TOTAL, Anul 2018, Numar, 225
Total, Suceava, TOTAL, Anul 2019, Numar, 223
Total, Suceava, TOTAL, Anul 2020, Numar, 224
Total, Suceava, TOTAL, Anul 2021, Numar, 223
Total, Teleorman, TOTAL, Anul 1992, Numar, 563
Total, Teleorman, TOTAL, Anul 1993, Numar, 554
Total, Teleorman, TOTAL, Anul 1994, Numar, 550
Total, Teleorman, TOTAL, Anul 1995, Numar, 543
Total, Teleorman, TOTAL, Anul 1996, Numar, 550
Total, Teleorman, TOTAL, Anul 1997, Numar, 547
Total, Teleorman, TOTAL, Anul 1998, Numar, 549
Total, Teleorman, TOTAL, Anul 1999, Numar, 531
Total, Teleorman, TOTAL, Anul 2000, Numar, 524
Total, Teleorman, TOTAL, Anul 2001, Numar, 527
Total, Teleorman, TOTAL, Anul 2002, Numar, 525
Total, Teleorman, TOTAL, Anul 2003, Numar, 525
Total, Teleorman, TOTAL, Anul 2004, Numar, 245
Total, Teleorman, TOTAL, Anul 2005, Numar, 247
Total, Teleorman, TOTAL, Anul 2006, Numar, 209
Total, Teleorman, TOTAL, Anul 2007, Numar, 195
Total, Teleorman, TOTAL, Anul 2008, Numar, 192
Total, Teleorman, TOTAL, Anul 2009, Numar, 191
Total, Teleorman, TOTAL, Anul 2010, Numar, 150
Total, Teleorman, TOTAL, Anul 2011, Numar, 150
Total, Teleorman, TOTAL, Anul 2012, Numar, 147
Total, Teleorman, TOTAL, Anul 2013, Numar, 149
Total, Teleorman, TOTAL, Anul 2014, Numar, 148
Total, Teleorman, TOTAL, Anul 2015, Numar, 148
Total, Teleorman, TOTAL, Anul 2016, Numar, 144
Total, Teleorman, TOTAL, Anul 2017, Numar, 141
Total, Teleorman, TOTAL, Anul 2018, Numar, 140
Total, Teleorman, TOTAL, Anul 2019, Numar, 139
Total, Teleorman, TOTAL, Anul 2020, Numar, 140
Total, Teleorman, TOTAL, Anul 2021, Numar, 139
Total, Timis, TOTAL, Anul 1992, Numar, 836
Total, Timis, TOTAL, Anul 1993, Numar, 827
Total, Timis, TOTAL, Anul 1994, Numar, 818
Total, Timis, TOTAL, Anul 1995, Numar, 824
Total, Timis, TOTAL, Anul 1996, Numar, 825
Total, Timis, TOTAL, Anul 1997, Numar, 802
Total, Timis, TOTAL, Anul 1998, Numar, 821
Total, Timis, TOTAL, Anul 1999, Numar, 775
Total, Timis, TOTAL, Anul 2000, Numar, 732
Total, Timis, TOTAL, Anul 2001, Numar, 756
Total, Timis, TOTAL, Anul 2002, Numar, 748
Total, Timis, TOTAL, Anul 2003, Numar, 603
Total, Timis, TOTAL, Anul 2004, Numar, 601
Total, Timis, TOTAL, Anul 2005, Numar, 591
Total, Timis, TOTAL, Anul 2006, Numar, 297
Total, Timis, TOTAL, Anul 2007, Numar, 279
Total, Timis, TOTAL, Anul 2008, Numar, 284
Total, Timis, TOTAL, Anul 2009, Numar, 285
Total, Timis, TOTAL, Anul 2010, Numar, 270
Total, Timis, TOTAL, Anul 2011, Numar, 266
Total, Timis, TOTAL, Anul 2012, Numar, 254
Total, Timis, TOTAL, Anul 2013, Numar, 223
Total, Timis, TOTAL, Anul 2014, Numar, 223
Total, Timis, TOTAL, Anul 2015, Numar, 226
Total, Timis, TOTAL, Anul 2016, Numar, 226
Total, Timis, TOTAL, Anul 2017, Numar, 231
Total, Timis, TOTAL, Anul 2018, Numar, 242
Total, Timis, TOTAL, Anul 2019, Numar, 241
Total, Timis, TOTAL, Anul 2020, Numar, 238
Total, Timis, TOTAL, Anul 2021, Numar, 240
Total, Tulcea, TOTAL, Anul 1992, Numar, 300
Total, Tulcea, TOTAL, Anul 1993, Numar, 314
Total, Tulcea, TOTAL, Anul 1994, Numar, 315
Total, Tulcea, TOTAL, Anul 1995, Numar, 321
Total, Tulcea, TOTAL, Anul 1996, Numar, 321
Total, Tulcea, TOTAL, Anul 1997, Numar, 314
Total, Tulcea, TOTAL, Anul 1998, Numar, 317
Total, Tulcea, TOTAL, Anul 1999, Numar, 302
Total, Tulcea, TOTAL, Anul 2000, Numar, 302
Total, Tulcea, TOTAL, Anul 2001, Numar, 298
Total, Tulcea, TOTAL, Anul 2002, Numar, 172
Total, Tulcea, TOTAL, Anul 2003, Numar, 170
Total, Tulcea, TOTAL, Anul 2004, Numar, 159
Total, Tulcea, TOTAL, Anul 2005, Numar, 157
Total, Tulcea, TOTAL, Anul 2006, Numar, 76
Total, Tulcea, TOTAL, Anul 2007, Numar, 89
Total, Tulcea, TOTAL, Anul 2008, Numar, 88
Total, Tulcea, TOTAL, Anul 2009, Numar, 83
Total, Tulcea, TOTAL, Anul 2010, Numar, 71
Total, Tulcea, TOTAL, Anul 2011, Numar, 81
Total, Tulcea, TOTAL, Anul 2012, Numar, 81
Total, Tulcea, TOTAL, Anul 2013, Numar, 81
Total, Tulcea, TOTAL, Anul 2014, Numar, 82
Total, Tulcea, TOTAL, Anul 2015, Numar, 83
Total, Tulcea, TOTAL, Anul 2016, Numar, 82
Total, Tulcea, TOTAL, Anul 2017, Numar, 80
Total, Tulcea, TOTAL, Anul 2018, Numar, 81
Total, Tulcea, TOTAL, Anul 2019, Numar, 81
Total, Tulcea, TOTAL, Anul 2020, Numar, 80
Total, Tulcea, TOTAL, Anul 2021, Numar, 80
Total, Vaslui, TOTAL, Anul 1992, Numar, 804
Total, Vaslui, TOTAL, Anul 1993, Numar, 817
Total, Vaslui, TOTAL, Anul 1994, Numar, 810
Total, Vaslui, TOTAL, Anul 1995, Numar, 846
Total, Vaslui, TOTAL, Anul 1996, Numar, 856
Total, Vaslui, TOTAL, Anul 1997, Numar, 778
Total, Vaslui, TOTAL, Anul 1998, Numar, 836
Total, Vaslui, TOTAL, Anul 1999, Numar, 839
Total, Vaslui, TOTAL, Anul 2000, Numar, 818
Total, Vaslui, TOTAL, Anul 2001, Numar, 824
Total, Vaslui, TOTAL, Anul 2002, Numar, 833
Total, Vaslui, TOTAL, Anul 2003, Numar, 694
Total, Vaslui, TOTAL, Anul 2004, Numar, 599
Total, Vaslui, TOTAL, Anul 2005, Numar, 168
Total, Vaslui, TOTAL, Anul 2006, Numar, 118
Total, Vaslui, TOTAL, Anul 2007, Numar, 119
Total, Vaslui, TOTAL, Anul 2008, Numar, 120
Total, Vaslui, TOTAL, Anul 2009, Numar, 158
Total, Vaslui, TOTAL, Anul 2010, Numar, 159
Total, Vaslui, TOTAL, Anul 2011, Numar, 152
Total, Vaslui, TOTAL, Anul 2012, Numar, 150
Total, Vaslui, TOTAL, Anul 2013, Numar, 150
Total, Vaslui, TOTAL, Anul 2014, Numar, 155
Total, Vaslui, TOTAL, Anul 2015, Numar, 163
Total, Vaslui, TOTAL, Anul 2016, Numar, 153
Total, Vaslui, TOTAL, Anul 2017, Numar, 154
Total, Vaslui, TOTAL, Anul 2018, Numar, 150
Total, Vaslui, TOTAL, Anul 2019, Numar, 148
Total, Vaslui, TOTAL, Anul 2020, Numar, 148
Total, Vaslui, TOTAL, Anul 2021, Numar, 149
Total, Valcea, TOTAL, Anul 1992, Numar, 841
Total, Valcea, TOTAL, Anul 1993, Numar, 837
Total, Valcea, TOTAL, Anul 1994, Numar, 850
Total, Valcea, TOTAL, Anul 1995, Numar, 841
Total, Valcea, TOTAL, Anul 1996, Numar, 834
Total, Valcea, TOTAL, Anul 1997, Numar, 756
Total, Valcea, TOTAL, Anul 1998, Numar, 772
Total, Valcea, TOTAL, Anul 1999, Numar, 755
Total, Valcea, TOTAL, Anul 2000, Numar, 720
Total, Valcea, TOTAL, Anul 2001, Numar, 737
Total, Valcea, TOTAL, Anul 2002, Numar, 724
Total, Valcea, TOTAL, Anul 2003, Numar, 228
Total, Valcea, TOTAL, Anul 2004, Numar, 228
Total, Valcea, TOTAL, Anul 2005, Numar, 229
Total, Valcea, TOTAL, Anul 2006, Numar, 167
Total, Valcea, TOTAL, Anul 2007, Numar, 168
Total, Valcea, TOTAL, Anul 2008, Numar, 168
Total, Valcea, TOTAL, Anul 2009, Numar, 170
Total, Valcea, TOTAL, Anul 2010, Numar, 147
Total, Valcea, TOTAL, Anul 2011, Numar, 149
Total, Valcea, TOTAL, Anul 2012, Numar, 148
Total, Valcea, TOTAL, Anul 2013, Numar, 153
Total, Valcea, TOTAL, Anul 2014, Numar, 138
Total, Valcea, TOTAL, Anul 2015, Numar, 134
Total, Valcea, TOTAL, Anul 2016, Numar, 131
Total, Valcea, TOTAL, Anul 2017, Numar, 133
Total, Valcea, TOTAL, Anul 2018, Numar, 130
Total, Valcea, TOTAL, Anul 2019, Numar, 129
Total, Valcea, TOTAL, Anul 2020, Numar, 129
Total, Valcea, TOTAL, Anul 2021, Numar, 130
Total, Vrancea, TOTAL, Anul 1992, Numar, 648
Total, Vrancea, TOTAL, Anul 1993, Numar, 650
Total, Vrancea, TOTAL, Anul 1994, Numar, 663
Total, Vrancea, TOTAL, Anul 1995, Numar, 678
Total, Vrancea, TOTAL, Anul 1996, Numar, 678
Total, Vrancea, TOTAL, Anul 1997, Numar, 651
Total, Vrancea, TOTAL, Anul 1998, Numar, 660
Total, Vrancea, TOTAL, Anul 1999, Numar, 633
Total, Vrancea, TOTAL, Anul 2000, Numar, 613
Total, Vrancea, TOTAL, Anul 2001, Numar, 632
Total, Vrancea, TOTAL, Anul 2002, Numar, 611
Total, Vrancea, TOTAL, Anul 2003, Numar, 619
Total, Vrancea, TOTAL, Anul 2004, Numar, 452
Total, Vrancea, TOTAL, Anul 2005, Numar, 194
Total, Vrancea, TOTAL, Anul 2006, Numar, 144
Total, Vrancea, TOTAL, Anul 2007, Numar, 143
Total, Vrancea, TOTAL, Anul 2008, Numar, 139
Total, Vrancea, TOTAL, Anul 2009, Numar, 143
Total, Vrancea, TOTAL, Anul 2010, Numar, 132
Total, Vrancea, TOTAL, Anul 2011, Numar, 127
Total, Vrancea, TOTAL, Anul 2012, Numar, 124
Total, Vrancea, TOTAL, Anul 2013, Numar, 120
Total, Vrancea, TOTAL, Anul 2014, Numar, 128
Total, Vrancea, TOTAL, Anul 2015, Numar, 122
Total, Vrancea, TOTAL, Anul 2016, Numar, 118
Total, Vrancea, TOTAL, Anul 2017, Numar, 116
Total, Vrancea, TOTAL, Anul 2018, Numar, 120
Total, Vrancea, TOTAL, Anul 2019, Numar, 120
Total, Vrancea, TOTAL, Anul 2020, Numar, 120
Total, Vrancea, TOTAL, Anul 2021, Numar, 121
Total, Municipiul Bucuresti, TOTAL, Anul 1992, Numar, 663
Total, Municipiul Bucuresti, TOTAL, Anul 1993, Numar, 688
Total, Municipiul Bucuresti, TOTAL, Anul 1994, Numar, 658
Total, Municipiul Bucuresti, TOTAL, Anul 1995, Numar, 667
Total, Municipiul Bucuresti, TOTAL, Anul 1996, Numar, 667
Total, Municipiul Bucuresti, TOTAL, Anul 1997, Numar, 685
Total, Municipiul Bucuresti, TOTAL, Anul 1998, Numar, 653
Total, Municipiul Bucuresti, TOTAL, Anul 1999, Numar, 570
Total, Municipiul Bucuresti, TOTAL, Anul 2000, Numar, 532
Total, Municipiul Bucuresti, TOTAL, Anul 2001, Numar, 530
Total, Municipiul Bucuresti, TOTAL, Anul 2002, Numar, 534
Total, Municipiul Bucuresti, TOTAL, Anul 2003, Numar, 553
Total, Municipiul Bucuresti, TOTAL, Anul 2004, Numar, 556
Total, Municipiul Bucuresti, TOTAL, Anul 2005, Numar, 559
Total, Municipiul Bucuresti, TOTAL, Anul 2006, Numar, 557
Total, Municipiul Bucuresti, TOTAL, Anul 2007, Numar, 569
Total, Municipiul Bucuresti, TOTAL, Anul 2008, Numar, 564
Total, Municipiul Bucuresti, TOTAL, Anul 2009, Numar, 556
Total, Municipiul Bucuresti, TOTAL, Anul 2010, Numar, 553
Total, Municipiul Bucuresti, TOTAL, Anul 2011, Numar, 546
Total, Municipiul Bucuresti, TOTAL, Anul 2012, Numar, 556
Total, Municipiul Bucuresti, TOTAL, Anul 2013, Numar, 553
Total, Municipiul Bucuresti, TOTAL, Anul 2014, Numar, 579
Total, Municipiul Bucuresti, TOTAL, Anul 2015, Numar, 570
Total, Municipiul Bucuresti, TOTAL, Anul 2016, Numar, 568
Total, Municipiul Bucuresti, TOTAL, Anul 2017, Numar, 626
Total, Municipiul Bucuresti, TOTAL, Anul 2018, Numar, 621
Total, Municipiul Bucuresti, TOTAL, Anul 2019, Numar, 616
Total, Municipiul Bucuresti, TOTAL, Anul 2020, Numar, 597
Total, Municipiul Bucuresti, TOTAL, Anul 2021, Numar, 623
