Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Urban, Satu Mare, Anul 2016, Numar persoane, 12
Urban, Satu Mare, Anul 2017, Numar persoane, 7
Urban, Satu Mare, Anul 2018, Numar persoane, 4
Urban, Satu Mare, Anul 2019, Numar persoane, 5
Urban, Satu Mare, Anul 2020, Numar persoane, 6
Urban, Satu Mare, Anul 2021, Numar persoane, 7
Urban, Satu Mare, Anul 2022, Numar persoane, 1
Urban, Salaj, Anul 1990, Numar persoane, 21
Urban, Salaj, Anul 1991, Numar persoane, 20
Urban, Salaj, Anul 1992, Numar persoane, 11
Urban, Salaj, Anul 1993, Numar persoane, 17
Urban, Salaj, Anul 1994, Numar persoane, 10
Urban, Salaj, Anul 1995, Numar persoane, 10
Urban, Salaj, Anul 1996, Numar persoane, 16
Urban, Salaj, Anul 1997, Numar persoane, 9
Urban, Salaj, Anul 1998, Numar persoane, 19
Urban, Salaj, Anul 1999, Numar persoane, 11
Urban, Salaj, Anul 2000, Numar persoane, 9
Urban, Salaj, Anul 2001, Numar persoane, 5
Urban, Salaj, Anul 2002, Numar persoane, 8
Urban, Salaj, Anul 2003, Numar persoane, 6
Urban, Salaj, Anul 2004, Numar persoane, 8
Urban, Salaj, Anul 2005, Numar persoane, 5
Urban, Salaj, Anul 2006, Numar persoane, 10
Urban, Salaj, Anul 2007, Numar persoane, 4
Urban, Salaj, Anul 2008, Numar persoane, 7
Urban, Salaj, Anul 2009, Numar persoane, 7
Urban, Salaj, Anul 2010, Numar persoane, 9
Urban, Salaj, Anul 2011, Numar persoane, 6
Urban, Salaj, Anul 2012, Numar persoane, 3
Urban, Salaj, Anul 2013, Numar persoane, 6
Urban, Salaj, Anul 2014, Numar persoane, 7
Urban, Salaj, Anul 2015, Numar persoane, 5
Urban, Salaj, Anul 2016, Numar persoane, 6
Urban, Salaj, Anul 2017, Numar persoane, 5
Urban, Salaj, Anul 2018, Numar persoane, 8
Urban, Salaj, Anul 2019, Numar persoane, 5
Urban, Salaj, Anul 2020, Numar persoane, 11
Urban, Salaj, Anul 2021, Numar persoane, 4
Urban, Salaj, Anul 2022, Numar persoane, 7
Urban, Alba, Anul 1990, Numar persoane, 25
Urban, Alba, Anul 1991, Numar persoane, 25
Urban, Alba, Anul 1992, Numar persoane, 23
Urban, Alba, Anul 1993, Numar persoane, 16
Urban, Alba, Anul 1994, Numar persoane, 18
Urban, Alba, Anul 1995, Numar persoane, 17
Urban, Alba, Anul 1996, Numar persoane, 19
Urban, Alba, Anul 1997, Numar persoane, 17
Urban, Alba, Anul 1998, Numar persoane, 22
Urban, Alba, Anul 1999, Numar persoane, 13
Urban, Alba, Anul 2000, Numar persoane, 6
Urban, Alba, Anul 2001, Numar persoane, 11
Urban, Alba, Anul 2002, Numar persoane, 15
Urban, Alba, Anul 2003, Numar persoane, 6
Urban, Alba, Anul 2004, Numar persoane, 20
Urban, Alba, Anul 2005, Numar persoane, 17
Urban, Alba, Anul 2006, Numar persoane, 10
Urban, Alba, Anul 2007, Numar persoane, 8
Urban, Alba, Anul 2008, Numar persoane, 8
Urban, Alba, Anul 2009, Numar persoane, 11
Urban, Alba, Anul 2010, Numar persoane, 15
Urban, Alba, Anul 2011, Numar persoane, 9
Urban, Alba, Anul 2012, Numar persoane, 4
Urban, Alba, Anul 2013, Numar persoane, 13
Urban, Alba, Anul 2014, Numar persoane, 8
Urban, Alba, Anul 2015, Numar persoane, 8
Urban, Alba, Anul 2016, Numar persoane, 6
Urban, Alba, Anul 2017, Numar persoane, 9
Urban, Alba, Anul 2018, Numar persoane, 8
Urban, Alba, Anul 2019, Numar persoane, 3
