Categorii de biblioteci , Judete, Localitati , Ani, UM: Numar, Valoare
Total, Teleorman, TOTAL, Anul 1999, Numar, 309
Total, Teleorman, TOTAL, Anul 2000, Numar, 299
Total, Teleorman, TOTAL, Anul 2001, Numar, 300
Total, Teleorman, TOTAL, Anul 2002, Numar, 315
Total, Teleorman, TOTAL, Anul 2003, Numar, 311
Total, Teleorman, TOTAL, Anul 2004, Numar, 301
Total, Teleorman, TOTAL, Anul 2005, Numar, 300
Total, Teleorman, TOTAL, Anul 2006, Numar, 302
Total, Teleorman, TOTAL, Anul 2007, Numar, 283
Total, Teleorman, TOTAL, Anul 2008, Numar, 286
Total, Teleorman, TOTAL, Anul 2009, Numar, 266
Total, Teleorman, TOTAL, Anul 2010, Numar, 244
Total, Teleorman, TOTAL, Anul 2011, Numar, 223
Total, Teleorman, TOTAL, Anul 2012, Numar, 183
Total, Teleorman, TOTAL, Anul 2013, Numar, 182
Total, Teleorman, TOTAL, Anul 2014, Numar, 178
Total, Teleorman, TOTAL, Anul 2015, Numar, 177
Total, Teleorman, TOTAL, Anul 2016, Numar, 173
Total, Teleorman, TOTAL, Anul 2017, Numar, 176
Total, Teleorman, TOTAL, Anul 2018, Numar, 168
Total, Teleorman, TOTAL, Anul 2019, Numar, 170
Total, Teleorman, TOTAL, Anul 2020, Numar, 159
Total, Teleorman, TOTAL, Anul 2021, Numar, 134
Total, Timis, TOTAL, Anul 1995, Numar, 443
Total, Timis, TOTAL, Anul 1996, Numar, 450
Total, Timis, TOTAL, Anul 1997, Numar, 431
Total, Timis, TOTAL, Anul 1998, Numar, 430
Total, Timis, TOTAL, Anul 1999, Numar, 426
Total, Timis, TOTAL, Anul 2000, Numar, 420
Total, Timis, TOTAL, Anul 2001, Numar, 407
Total, Timis, TOTAL, Anul 2002, Numar, 408
Total, Timis, TOTAL, Anul 2003, Numar, 403
Total, Timis, TOTAL, Anul 2004, Numar, 366
Total, Timis, TOTAL, Anul 2005, Numar, 391
Total, Timis, TOTAL, Anul 2006, Numar, 379
Total, Timis, TOTAL, Anul 2007, Numar, 383
Total, Timis, TOTAL, Anul 2008, Numar, 378
Total, Timis, TOTAL, Anul 2009, Numar, 372
Total, Timis, TOTAL, Anul 2010, Numar, 355
Total, Timis, TOTAL, Anul 2011, Numar, 322
Total, Timis, TOTAL, Anul 2012, Numar, 299
Total, Timis, TOTAL, Anul 2013, Numar, 313
Total, Timis, TOTAL, Anul 2014, Numar, 302
Total, Timis, TOTAL, Anul 2015, Numar, 273
Total, Timis, TOTAL, Anul 2016, Numar, 257
Total, Timis, TOTAL, Anul 2017, Numar, 252
Total, Timis, TOTAL, Anul 2018, Numar, 248
Total, Timis, TOTAL, Anul 2019, Numar, 230
Total, Timis, TOTAL, Anul 2020, Numar, 213
Total, Timis, TOTAL, Anul 2021, Numar, 185
Total, Tulcea, TOTAL, Anul 1995, Numar, 145
Total, Tulcea, TOTAL, Anul 1996, Numar, 152
Total, Tulcea, TOTAL, Anul 1997, Numar, 139
Total, Tulcea, TOTAL, Anul 1998, Numar, 153
Total, Tulcea, TOTAL, Anul 1999, Numar, 145
Total, Tulcea, TOTAL, Anul 2000, Numar, 140
Total, Tulcea, TOTAL, Anul 2001, Numar, 150
Total, Tulcea, TOTAL, Anul 2002, Numar, 153
Total, Tulcea, TOTAL, Anul 2003, Numar, 149
Total, Tulcea, TOTAL, Anul 2004, Numar, 153
Total, Tulcea, TOTAL, Anul 2005, Numar, 157
Total, Tulcea, TOTAL, Anul 2006, Numar, 157
Total, Tulcea, TOTAL, Anul 2007, Numar, 162
Total, Tulcea, TOTAL, Anul 2008, Numar, 158
Total, Tulcea, TOTAL, Anul 2009, Numar, 158
Total, Tulcea, TOTAL, Anul 2010, Numar, 158
Total, Tulcea, TOTAL, Anul 2011, Numar, 160
Total, Tulcea, TOTAL, Anul 2012, Numar, 153
Total, Tulcea, TOTAL, Anul 2013, Numar, 153
Total, Tulcea, TOTAL, Anul 2014, Numar, 145
Total, Tulcea, TOTAL, Anul 2015, Numar, 131
Total, Tulcea, TOTAL, Anul 2016, Numar, 129
Total, Tulcea, TOTAL, Anul 2017, Numar, 118
Total, Tulcea, TOTAL, Anul 2018, Numar, 119
Total, Tulcea, TOTAL, Anul 2019, Numar, 119
Total, Tulcea, TOTAL, Anul 2020, Numar, 111
Total, Tulcea, TOTAL, Anul 2021, Numar, 106
Total, Vaslui, TOTAL, Anul 1995, Numar, 327
Total, Vaslui, TOTAL, Anul 1996, Numar, 342
Total, Vaslui, TOTAL, Anul 1997, Numar, 336
Total, Vaslui, TOTAL, Anul 1998, Numar, 336
Total, Vaslui, TOTAL, Anul 1999, Numar, 337
Total, Vaslui, TOTAL, Anul 2000, Numar, 330
Total, Vaslui, TOTAL, Anul 2001, Numar, 317
Total, Vaslui, TOTAL, Anul 2002, Numar, 320
Total, Vaslui, TOTAL, Anul 2003, Numar, 310
Total, Vaslui, TOTAL, Anul 2004, Numar, 298
Total, Vaslui, TOTAL, Anul 2005, Numar, 289
Total, Vaslui, TOTAL, Anul 2006, Numar, 244
Total, Vaslui, TOTAL, Anul 2007, Numar, 307
Total, Vaslui, TOTAL, Anul 2008, Numar, 321
Total, Vaslui, TOTAL, Anul 2009, Numar, 322
Total, Vaslui, TOTAL, Anul 2010, Numar, 305
Total, Vaslui, TOTAL, Anul 2011, Numar, 291
Total, Vaslui, TOTAL, Anul 2012, Numar, 305
Total, Vaslui, TOTAL, Anul 2013, Numar, 309
Total, Vaslui, TOTAL, Anul 2014, Numar, 275
Total, Vaslui, TOTAL, Anul 2015, Numar, 250
Total, Vaslui, TOTAL, Anul 2016, Numar, 250
Total, Vaslui, TOTAL, Anul 2017, Numar, 239
Total, Vaslui, TOTAL, Anul 2018, Numar, 240
Total, Vaslui, TOTAL, Anul 2019, Numar, 224
Total, Vaslui, TOTAL, Anul 2020, Numar, 207
Total, Vaslui, TOTAL, Anul 2021, Numar, 205
Total, Valcea, TOTAL, Anul 1995, Numar, 214
Total, Valcea, TOTAL, Anul 1996, Numar, 237
Total, Valcea, TOTAL, Anul 1997, Numar, 242
Total, Valcea, TOTAL, Anul 1998, Numar, 252
Total, Valcea, TOTAL, Anul 1999, Numar, 253
Total, Valcea, TOTAL, Anul 2000, Numar, 272
Total, Valcea, TOTAL, Anul 2001, Numar, 280
Total, Valcea, TOTAL, Anul 2002, Numar, 280
Total, Valcea, TOTAL, Anul 2003, Numar, 270
Total, Valcea, TOTAL, Anul 2004, Numar, 276
Total, Valcea, TOTAL, Anul 2005, Numar, 266
Total, Valcea, TOTAL, Anul 2006, Numar, 277
Total, Valcea, TOTAL, Anul 2007, Numar, 272
Total, Valcea, TOTAL, Anul 2008, Numar, 278
Total, Valcea, TOTAL, Anul 2009, Numar, 265
Total, Valcea, TOTAL, Anul 2010, Numar, 256
Total, Valcea, TOTAL, Anul 2011, Numar, 270
Total, Valcea, TOTAL, Anul 2012, Numar, 250
Total, Valcea, TOTAL, Anul 2013, Numar, 249
Total, Valcea, TOTAL, Anul 2014, Numar, 256
Total, Valcea, TOTAL, Anul 2015, Numar, 231
Total, Valcea, TOTAL, Anul 2016, Numar, 212
Total, Valcea, TOTAL, Anul 2017, Numar, 212
Total, Valcea, TOTAL, Anul 2018, Numar, 214
Total, Valcea, TOTAL, Anul 2019, Numar, 205
Total, Valcea, TOTAL, Anul 2020, Numar, 201
Total, Valcea, TOTAL, Anul 2021, Numar, 197
Total, Vrancea, TOTAL, Anul 1995, Numar, 276
Total, Vrancea, TOTAL, Anul 1996, Numar, 261
Total, Vrancea, TOTAL, Anul 1997, Numar, 253
Total, Vrancea, TOTAL, Anul 1998, Numar, 261
Total, Vrancea, TOTAL, Anul 1999, Numar, 266
Total, Vrancea, TOTAL, Anul 2000, Numar, 252
Total, Vrancea, TOTAL, Anul 2001, Numar, 265
Total, Vrancea, TOTAL, Anul 2002, Numar, 248
Total, Vrancea, TOTAL, Anul 2003, Numar, 233
Total, Vrancea, TOTAL, Anul 2004, Numar, 240
Total, Vrancea, TOTAL, Anul 2005, Numar, 228
Total, Vrancea, TOTAL, Anul 2006, Numar, 226
Total, Vrancea, TOTAL, Anul 2007, Numar, 242
Total, Vrancea, TOTAL, Anul 2008, Numar, 239
Total, Vrancea, TOTAL, Anul 2009, Numar, 237
Total, Vrancea, TOTAL, Anul 2010, Numar, 221
Total, Vrancea, TOTAL, Anul 2011, Numar, 249
Total, Vrancea, TOTAL, Anul 2012, Numar, 245
Total, Vrancea, TOTAL, Anul 2013, Numar, 254
Total, Vrancea, TOTAL, Anul 2014, Numar, 194
Total, Vrancea, TOTAL, Anul 2015, Numar, 172
Total, Vrancea, TOTAL, Anul 2016, Numar, 160
Total, Vrancea, TOTAL, Anul 2017, Numar, 158
Total, Vrancea, TOTAL, Anul 2018, Numar, 161
Total, Vrancea, TOTAL, Anul 2019, Numar, 163
Total, Vrancea, TOTAL, Anul 2020, Numar, 159
Total, Vrancea, TOTAL, Anul 2021, Numar, 145
Total, Municipiul Bucuresti, TOTAL, Anul 1995, Numar, 387
Total, Municipiul Bucuresti, TOTAL, Anul 1996, Numar, 339
Total, Municipiul Bucuresti, TOTAL, Anul 1997, Numar, 347
Total, Municipiul Bucuresti, TOTAL, Anul 1998, Numar, 334
Total, Municipiul Bucuresti, TOTAL, Anul 1999, Numar, 370
Total, Municipiul Bucuresti, TOTAL, Anul 2000, Numar, 344
Total, Municipiul Bucuresti, TOTAL, Anul 2001, Numar, 384
Total, Municipiul Bucuresti, TOTAL, Anul 2002, Numar, 441
Total, Municipiul Bucuresti, TOTAL, Anul 2003, Numar, 402
Total, Municipiul Bucuresti, TOTAL, Anul 2004, Numar, 398
Total, Municipiul Bucuresti, TOTAL, Anul 2005, Numar, 406
Total, Municipiul Bucuresti, TOTAL, Anul 2006, Numar, 402
Total, Municipiul Bucuresti, TOTAL, Anul 2007, Numar, 391
Total, Municipiul Bucuresti, TOTAL, Anul 2008, Numar, 404
Total, Municipiul Bucuresti, TOTAL, Anul 2009, Numar, 409
Total, Municipiul Bucuresti, TOTAL, Anul 2010, Numar, 414
Total, Municipiul Bucuresti, TOTAL, Anul 2011, Numar, 399
Total, Municipiul Bucuresti, TOTAL, Anul 2012, Numar, 413
Total, Municipiul Bucuresti, TOTAL, Anul 2013, Numar, 416
Total, Municipiul Bucuresti, TOTAL, Anul 2014, Numar, 378
Total, Municipiul Bucuresti, TOTAL, Anul 2015, Numar, 354
Total, Municipiul Bucuresti, TOTAL, Anul 2016, Numar, 344
Total, Municipiul Bucuresti, TOTAL, Anul 2017, Numar, 339
Total, Municipiul Bucuresti, TOTAL, Anul 2018, Numar, 353
Total, Municipiul Bucuresti, TOTAL, Anul 2019, Numar, 355
Total, Municipiul Bucuresti, TOTAL, Anul 2020, Numar, 346
Total, Municipiul Bucuresti, TOTAL, Anul 2021, Numar, 327
