Categorii de biblioteci , Judete, Localitati , Ani, UM: Numar, Valoare
Total, Cluj, TOTAL, Anul 2000, Numar, 454
Total, Cluj, TOTAL, Anul 2001, Numar, 450
Total, Cluj, TOTAL, Anul 2002, Numar, 460
Total, Cluj, TOTAL, Anul 2003, Numar, 439
Total, Cluj, TOTAL, Anul 2004, Numar, 437
Total, Cluj, TOTAL, Anul 2005, Numar, 403
Total, Cluj, TOTAL, Anul 2006, Numar, 432
Total, Cluj, TOTAL, Anul 2007, Numar, 420
Total, Cluj, TOTAL, Anul 2008, Numar, 412
Total, Cluj, TOTAL, Anul 2009, Numar, 394
Total, Cluj, TOTAL, Anul 2010, Numar, 379
Total, Cluj, TOTAL, Anul 2011, Numar, 372
Total, Cluj, TOTAL, Anul 2012, Numar, 361
Total, Cluj, TOTAL, Anul 2013, Numar, 355
Total, Cluj, TOTAL, Anul 2014, Numar, 342
Total, Cluj, TOTAL, Anul 2015, Numar, 314
Total, Cluj, TOTAL, Anul 2016, Numar, 304
Total, Cluj, TOTAL, Anul 2017, Numar, 293
Total, Cluj, TOTAL, Anul 2018, Numar, 289
Total, Cluj, TOTAL, Anul 2019, Numar, 277
Total, Cluj, TOTAL, Anul 2020, Numar, 272
Total, Cluj, TOTAL, Anul 2021, Numar, 266
Total, Constanta, TOTAL, Anul 1995, Numar, 289
Total, Constanta, TOTAL, Anul 1996, Numar, 296
Total, Constanta, TOTAL, Anul 1997, Numar, 303
Total, Constanta, TOTAL, Anul 1998, Numar, 308
Total, Constanta, TOTAL, Anul 1999, Numar, 303
Total, Constanta, TOTAL, Anul 2000, Numar, 299
Total, Constanta, TOTAL, Anul 2001, Numar, 304
Total, Constanta, TOTAL, Anul 2002, Numar, 309
Total, Constanta, TOTAL, Anul 2003, Numar, 300
Total, Constanta, TOTAL, Anul 2004, Numar, 297
Total, Constanta, TOTAL, Anul 2005, Numar, 294
Total, Constanta, TOTAL, Anul 2006, Numar, 307
Total, Constanta, TOTAL, Anul 2007, Numar, 329
Total, Constanta, TOTAL, Anul 2008, Numar, 335
Total, Constanta, TOTAL, Anul 2009, Numar, 343
Total, Constanta, TOTAL, Anul 2010, Numar, 325
Total, Constanta, TOTAL, Anul 2011, Numar, 316
Total, Constanta, TOTAL, Anul 2012, Numar, 293
Total, Constanta, TOTAL, Anul 2013, Numar, 280
Total, Constanta, TOTAL, Anul 2014, Numar, 281
Total, Constanta, TOTAL, Anul 2015, Numar, 273
Total, Constanta, TOTAL, Anul 2016, Numar, 264
Total, Constanta, TOTAL, Anul 2017, Numar, 253
Total, Constanta, TOTAL, Anul 2018, Numar, 249
Total, Constanta, TOTAL, Anul 2019, Numar, 234
Total, Constanta, TOTAL, Anul 2020, Numar, 229
Total, Constanta, TOTAL, Anul 2021, Numar, 221
Total, Covasna, TOTAL, Anul 1995, Numar, 223
Total, Covasna, TOTAL, Anul 1996, Numar, 226
Total, Covasna, TOTAL, Anul 1997, Numar, 218
Total, Covasna, TOTAL, Anul 1998, Numar, 219
Total, Covasna, TOTAL, Anul 1999, Numar, 218
Total, Covasna, TOTAL, Anul 2000, Numar, 192
Total, Covasna, TOTAL, Anul 2001, Numar, 193
Total, Covasna, TOTAL, Anul 2002, Numar, 200
Total, Covasna, TOTAL, Anul 2003, Numar, 202
Total, Covasna, TOTAL, Anul 2004, Numar, 206
Total, Covasna, TOTAL, Anul 2005, Numar, 204
Total, Covasna, TOTAL, Anul 2006, Numar, 199
Total, Covasna, TOTAL, Anul 2007, Numar, 199
Total, Covasna, TOTAL, Anul 2008, Numar, 195
Total, Covasna, TOTAL, Anul 2009, Numar, 184
Total, Covasna, TOTAL, Anul 2010, Numar, 177
Total, Covasna, TOTAL, Anul 2011, Numar, 179
Total, Covasna, TOTAL, Anul 2012, Numar, 176
Total, Covasna, TOTAL, Anul 2013, Numar, 168
Total, Covasna, TOTAL, Anul 2014, Numar, 171
Total, Covasna, TOTAL, Anul 2015, Numar, 155
Total, Covasna, TOTAL, Anul 2016, Numar, 151
Total, Covasna, TOTAL, Anul 2017, Numar, 151
Total, Covasna, TOTAL, Anul 2018, Numar, 149
Total, Covasna, TOTAL, Anul 2019, Numar, 142
Total, Covasna, TOTAL, Anul 2020, Numar, 133
Total, Covasna, TOTAL, Anul 2021, Numar, 119
Total, Dambovita, TOTAL, Anul 1995, Numar, 348
Total, Dambovita, TOTAL, Anul 1996, Numar, 357
Total, Dambovita, TOTAL, Anul 1997, Numar, 338
Total, Dambovita, TOTAL, Anul 1998, Numar, 368
Total, Dambovita, TOTAL, Anul 1999, Numar, 350
Total, Dambovita, TOTAL, Anul 2000, Numar, 362
Total, Dambovita, TOTAL, Anul 2001, Numar, 356
Total, Dambovita, TOTAL, Anul 2002, Numar, 350
Total, Dambovita, TOTAL, Anul 2003, Numar, 342
Total, Dambovita, TOTAL, Anul 2004, Numar, 352
Total, Dambovita, TOTAL, Anul 2005, Numar, 361
Total, Dambovita, TOTAL, Anul 2006, Numar, 365
Total, Dambovita, TOTAL, Anul 2007, Numar, 369
Total, Dambovita, TOTAL, Anul 2008, Numar, 369
Total, Dambovita, TOTAL, Anul 2009, Numar, 364
Total, Dambovita, TOTAL, Anul 2010, Numar, 369
Total, Dambovita, TOTAL, Anul 2011, Numar, 352
Total, Dambovita, TOTAL, Anul 2012, Numar, 343
Total, Dambovita, TOTAL, Anul 2013, Numar, 361
Total, Dambovita, TOTAL, Anul 2014, Numar, 331
Total, Dambovita, TOTAL, Anul 2015, Numar, 314
Total, Dambovita, TOTAL, Anul 2016, Numar, 299
Total, Dambovita, TOTAL, Anul 2017, Numar, 286
Total, Dambovita, TOTAL, Anul 2018, Numar, 281
Total, Dambovita, TOTAL, Anul 2019, Numar, 266
Total, Dambovita, TOTAL, Anul 2020, Numar, 254
Total, Dambovita, TOTAL, Anul 2021, Numar, 244
Total, Dolj, TOTAL, Anul 1995, Numar, 396
Total, Dolj, TOTAL, Anul 1996, Numar, 405
Total, Dolj, TOTAL, Anul 1997, Numar, 419
Total, Dolj, TOTAL, Anul 1998, Numar, 418
Total, Dolj, TOTAL, Anul 1999, Numar, 416
Total, Dolj, TOTAL, Anul 2000, Numar, 411
Total, Dolj, TOTAL, Anul 2001, Numar, 404
Total, Dolj, TOTAL, Anul 2002, Numar, 394
Total, Dolj, TOTAL, Anul 2003, Numar, 389
Total, Dolj, TOTAL, Anul 2004, Numar, 386
Total, Dolj, TOTAL, Anul 2005, Numar, 384
Total, Dolj, TOTAL, Anul 2006, Numar, 332
Total, Dolj, TOTAL, Anul 2007, Numar, 379
Total, Dolj, TOTAL, Anul 2008, Numar, 383
Total, Dolj, TOTAL, Anul 2009, Numar, 374
Total, Dolj, TOTAL, Anul 2010, Numar, 369
Total, Dolj, TOTAL, Anul 2011, Numar, 352
Total, Dolj, TOTAL, Anul 2012, Numar, 341
Total, Dolj, TOTAL, Anul 2013, Numar, 341
Total, Dolj, TOTAL, Anul 2014, Numar, 334
Total, Dolj, TOTAL, Anul 2015, Numar, 323
Total, Dolj, TOTAL, Anul 2016, Numar, 312
Total, Dolj, TOTAL, Anul 2017, Numar, 303
Total, Dolj, TOTAL, Anul 2018, Numar, 306
Total, Dolj, TOTAL, Anul 2019, Numar, 302
Total, Dolj, TOTAL, Anul 2020, Numar, 293
Total, Dolj, TOTAL, Anul 2021, Numar, 291
