YEARS,COUNTIES,EMIGRANTS,BORN_URBAN,BORN_RURAL,DEAD_URBAN,DEAD_RURAL,DIVORCES_URBAN,DIVORCES_RURAL,UNEMPLOYMENT_RATE_MALE,UNEMPLOYMENT_RATE_FEMALE,EDUCATIONAL_UNITS,TEACHING_STAFF,CONFLICTS_OF_INTEREST,HOSPITALS
 Anul 2005, Constanta,300.0,4955.0,2570.0,27.0,32.0,748.0,226.0,4.7,6.8,300,8966.0,6.0,13.0
 Anul 2006, Constanta,325.0,5043.0,2762.0,40.0,27.0,667.0,215.0,3.3,5.7,299,8923.0,4.0,13.0
 Anul 2007, Constanta,217.0,5145.0,2714.0,31.0,16.0,709.0,248.0,2.3,5.0,299,8937.0,4.0,13.0
 Anul 2008, Constanta,248.0,5397.0,2952.0,24.0,26.0,685.0,250.0,1.8,4.7,293,8973.0,4.0,15.0
 Anul 2009, Constanta,331.0,5534.0,2864.0,32.0,19.0,573.0,200.0,5.1,8.1,289,8839.0,6.0,17.0
 Anul 2010, Constanta,258.0,5391.0,2770.0,29.0,22.0,677.0,235.0,4.7,7.2,259,8323.0,2.0,17.0
 Anul 2011, Constanta,423.0,4791.0,2471.0,15.0,6.0,936.0,275.0,3.5,5.5,245,8311.0,2.0,18.0
 Anul 2012, Constanta,487.0,4899.0,2636.0,15.0,8.0,907.0,274.0,3.7,5.6,234,8284.0,1.0,19.0
 Anul 2013, Constanta,568.0,5006.0,2682.0,19.0,11.0,972.0,299.0,3.5,5.5,236,8203.0,1.0,20.0
 Anul 2014, Constanta,444.0,4929.0,2555.0,15.0,17.0,986.0,296.0,3.2,4.8,244,8067.0,2.0,24.0
 Anul 2015, Constanta,527.0,4884.0,2643.0,17.0,12.0,1033.0,298.0,2.7,4.9,242,7809.0,0.0,28.0
 Anul 2016, Constanta,852.0,5073.0,2633.0,23.0,9.0,1075.0,323.0,2.9,4.4,234,7758.0,2.0,30.0
 Anul 2017, Constanta,883.0,5044.0,2574.0,17.0,13.0,924.0,298.0,2.2,4.3,230,7748.0,4.0,32.0
 Anul 2018, Constanta,1063.0,4742.0,2536.0,10.0,10.0,816.0,362.0,1.9,3.9,227,7650.0,2.0,21.0
 Anul 2019, Constanta,964.0,4628.0,2461.0,16.0,9.0,894.0,406.0,1.7,3.7,228,7892.0,2.0,21.0
 Anul 2020, Constanta,727.0,4325.0,2543.0,14.0,10.0,692.0,292.0,2.1,4.0,228,8030.0,0.0,21.0
 Anul 2021, Constanta,1246.0,4083.0,2468.0,15.0,12.0,777.0,363.0,1.6,3.4,227,8144.0,0.0,21.0
 Anul 1992, Covasna,486.0,1280.0,1333.0,12.0,18.0,148.0,23.0,5.1,10.9,361,3324.0,3.0,6.0
 Anul 1993, Covasna,177.0,1172.0,1274.0,12.0,11.0,129.0,39.0,7.1,12.3,381,3477.0,16.0,6.0
 Anul 1994, Covasna,174.0,1125.0,1234.0,11.0,11.0,323.0,75.0,8.1,10.0,377,3611.0,4.0,6.0
 Anul 1995, Covasna,308.0,1109.0,1287.0,5.0,12.0,286.0,93.0,6.0,8.0,381,3841.0,4.0,6.0
 Anul 1996, Covasna,203.0,1115.0,1367.0,4.0,15.0,300.0,91.0,4.1,4.6,380,3859.0,8.0,6.0
 Anul 1997, Covasna,183.0,1202.0,1443.0,8.0,8.0,253.0,78.0,6.4,7.2,379,3582.0,3.0,6.0
 Anul 1998, Covasna,113.0,1125.0,1383.0,6.0,6.0,374.0,139.0,10.7,8.9,376,3565.0,5.0,6.0
 Anul 1999, Covasna,75.0,1175.0,1430.0,8.0,10.0,249.0,103.0,13.6,11.6,354,3456.0,6.0,7.0
 Anul 2000, Covasna,111.0,1214.0,1462.0,8.0,5.0,218.0,79.0,11.8,10.4,341,3392.0,1.0,7.0
 Anul 2001, Covasna,72.0,1106.0,1451.0,6.0,9.0,210.0,80.0,11.4,8.1,345,3420.0,1.0,7.0
 Anul 2002, Covasna,65.0,1076.0,1384.0,10.0,11.0,204.0,71.0,10.7,7.6,343,3278.0,0.0,7.0
 Anul 2003, Covasna,74.0,1067.0,1382.0,5.0,8.0,229.0,93.0,9.2,6.2,343,3105.0,0.0,6.0
 Anul 2004, Covasna,121.0,1213.0,1420.0,8.0,17.0,268.0,132.0,9.7,6.4,119,3213.0,0.0,6.0
 Anul 2005, Covasna,104.0,1308.0,1447.0,8.0,9.0,237.0,159.0,10.5,7.0,119,3110.0,1.0,6.0
 Anul 2006, Covasna,125.0,1251.0,1442.0,6.0,3.0,214.0,120.0,8.2,6.0,115,3086.0,0.0,7.0
 Anul 2007, Covasna,78.0,1127.0,1307.0,2.0,6.0,227.0,127.0,8.0,5.9,84,3057.0,0.0,7.0
 Anul 2008, Covasna,56.0,1189.0,1341.0,6.0,6.0,220.0,106.0,8.2,6.2,85,3137.0,2.0,7.0
 Anul 2009, Covasna,69.0,1185.0,1293.0,11.0,12.0,197.0,88.0,13.1,9.1,83,3055.0,0.0,7.0
 Anul 2010, Covasna,65.0,1116.0,1352.0,8.0,11.0,231.0,96.0,11.1,8.7,85,2897.0,0.0,7.0
 Anul 2011, Covasna,110.0,952.0,1320.0,3.0,6.0,208.0,75.0,9.6,7.4,82,2867.0,0.0,5.0
 Anul 2012, Covasna,73.0,1013.0,1393.0,5.0,5.0,208.0,107.0,8.8,6.4,80,2866.0,0.0,5.0
 Anul 2013, Covasna,99.0,1118.0,1386.0,3.0,8.0,134.0,69.0,8.4,6.3,82,2820.0,0.0,5.0
 Anul 2014, Covasna,65.0,979.0,1306.0,4.0,9.0,105.0,59.0,7.2,5.7,81,2690.0,0.0,5.0
 Anul 2015, Covasna,80.0,961.0,1260.0,6.0,10.0,197.0,96.0,6.4,5.0,81,2603.0,0.0,5.0
 Anul 2016, Covasna,113.0,1000.0,1341.0,3.0,3.0,192.0,119.0,5.8,4.6,81,2617.0,0.0,4.0
 Anul 2017, Covasna,88.0,975.0,1317.0,3.0,9.0,142.0,91.0,4.6,3.8,81,2616.0,0.0,4.0
 Anul 2018, Covasna,108.0,991.0,1292.0,2.0,7.0,168.0,101.0,3.8,3.4,81,2622.0,0.0,4.0
 Anul 2019, Covasna,120.0,950.0,1311.0,5.0,6.0,135.0,124.0,3.5,3.2,80,2580.0,1.0,4.0
 Anul 2020, Covasna,60.0,890.0,1372.0,5.0,8.0,134.0,84.0,4.9,5.4,79,2715.0,0.0,4.0
 Anul 2021, Covasna,126.0,871.0,1279.0,2.0,3.0,123.0,104.0,3.9,4.6,79,2811.0,0.0,4.0
 Anul 1992, Dambovita,86.0,1847.0,4809.0,9.0,28.0,299.0,270.0,4.0,7.5,776,5980.0,0.0,10.0
 Anul 1993, Dambovita,46.0,1725.0,4791.0,2.0,32.0,296.0,295.0,7.0,11.6,779,6239.0,0.0,10.0
 Anul 1994, Dambovita,64.0,1674.0,4645.0,8.0,29.0,479.0,463.0,9.8,12.3,784,6279.0,0.0,7.0
 Anul 1995, Dambovita,100.0,1636.0,4433.0,16.0,17.0,378.0,359.0,9.2,11.1,785,6607.0,1.0,7.0
 Anul 1996, Dambovita,117.0,1628.0,4199.0,14.0,29.0,374.0,350.0,6.7,6.6,789,6985.0,1.0,7.0
 Anul 1997, Dambovita,132.0,1641.0,4177.0,8.0,23.0,551.0,515.0,8.9,8.2,783,6931.0,10.0,8.0
 Anul 1998, Dambovita,75.0,1648.0,4370.0,5.0,20.0,375.0,328.0,10.3,9.6,779,7065.0,14.0,8.0
 Anul 1999, Dambovita,80.0,1658.0,4281.0,12.0,25.0,461.0,380.0,12.8,10.9,743,6878.0,17.0,8.0
 Anul 2000, Dambovita,159.0,1632.0,4112.0,8.0,21.0,399.0,354.0,11.3,10.1,742,6957.0,2.0,8.0
 Anul 2001, Dambovita,90.0,1596.0,3966.0,4.0,16.0,513.0,429.0,9.5,8.5,734,7117.0,1.0,8.0
 Anul 2002, Dambovita,38.0,1415.0,3882.0,3.0,16.0,477.0,422.0,9.3,8.2,713,6787.0,6.0,9.0
 Anul 2003, Dambovita,87.0,1394.0,3885.0,2.0,17.0,499.0,406.0,6.6,5.4,697,6429.0,4.0,7.0
 Anul 2004, Dambovita,120.0,1555.0,3866.0,3.0,11.0,532.0,436.0,7.3,6.0,243,6572.0,1.0,7.0
 Anul 2005, Dambovita,79.0,1565.0,3646.0,10.0,13.0,447.0,369.0,8.0,6.6,254,6605.0,5.0,7.0
 Anul 2006, Dambovita,116.0,1508.0,3477.0,5.0,14.0,484.0,398.0,6.7,5.4,201,6612.0,7.0,7.0
 Anul 2007, Dambovita,105.0,1471.0,3410.0,5.0,9.0,396.0,437.0,5.3,5.3,200,6505.0,5.0,7.0
 Anul 2008, Dambovita,101.0,1638.0,3637.0,2.0,14.0,435.0,450.0,5.4,5.9,202,6484.0,3.0,7.0
 Anul 2009, Dambovita,123.0,1623.0,3729.0,7.0,7.0,372.0,398.0,9.0,7.9,207,6284.0,2.0,8.0
 Anul 2010, Dambovita,112.0,1620.0,3610.0,3.0,2.0,388.0,405.0,8.9,8.0,167,5949.0,2.0,5.0
 Anul 2011, Dambovita,173.0,1380.0,3358.0,2.0,11.0,475.0,421.0,6.5,6.4,156,5745.0,0.0,4.0
 Anul 2012, Dambovita,211.0,1387.0,3362.0,1.0,9.0,345.0,324.0,7.6,7.2,160,5613.0,0.0,4.0
 Anul 2013, Dambovita,271.0,1528.0,3344.0,2.0,7.0,336.0,304.0,8.5,7.7,160,5567.0,4.0,4.0
 Anul 2014, Dambovita,211.0,1334.0,3260.0,4.0,8.0,280.0,268.0,8.3,7.5,161,5621.0,4.0,4.0
 Anul 2015, Dambovita,260.0,1384.0,3261.0,3.0,7.0,401.0,441.0,7.2,7.1,161,5394.0,1.0,4.0
 Anul 2016, Dambovita,383.0,1414.0,3336.0,4.0,14.0,353.0,406.0,6.9,7.2,157,5333.0,4.0,4.0
 Anul 2017, Dambovita,402.0,1360.0,3364.0,0.0,6.0,367.0,353.0,5.0,5.8,154,5251.0,1.0,4.0
 Anul 2018, Dambovita,503.0,1327.0,3380.0,4.0,7.0,369.0,495.0,3.8,4.6,154,4933.0,2.0,4.0
 Anul 2019, Dambovita,482.0,1334.0,3414.0,3.0,8.0,359.0,518.0,3.1,3.9,156,4927.0,1.0,4.0
 Anul 2020, Dambovita,381.0,1212.0,3367.0,5.0,13.0,271.0,325.0,2.8,3.8,153,4888.0,1.0,4.0
 Anul 2021, Dambovita,541.0,1199.0,3383.0,3.0,16.0,314.0,356.0,2.4,3.4,153,4892.0,1.0,4.0
 Anul 1992, Dolj,222.0,3927.0,4349.0,11.0,7.0,575.0,164.0,8.1,13.7,819,9467.0,6.0,12.0
 Anul 1993, Dolj,160.0,3640.0,4412.0,15.0,16.0,649.0,153.0,12.2,17.0,832,9737.0,29.0,12.0
 Anul 1994, Dolj,163.0,3737.0,4254.0,10.0,8.0,898.0,170.0,12.3,16.5,851,10159.0,33.0,9.0
 Anul 1995, Dolj,436.0,3514.0,4100.0,8.0,13.0,865.0,207.0,12.1,13.1,857,10588.0,12.0,9.0
 Anul 1996, Dolj,385.0,3381.0,3948.0,11.0,4.0,640.0,174.0,7.2,7.6,875,11008.0,11.0,9.0
 Anul 1997, Dolj,348.0,3490.0,4084.0,12.0,14.0,670.0,199.0,7.2,7.0,874,11144.0,13.0,9.0
 Anul 1998, Dolj,245.0,3543.0,4071.0,8.0,4.0,613.0,221.0,8.9,8.5,876,11209.0,9.0,9.0
 Anul 1999, Dolj,246.0,3485.0,3963.0,7.0,5.0,527.0,172.0,12.4,11.0,809,10876.0,30.0,9.0
 Anul 2000, Dolj,296.0,3574.0,4160.0,4.0,8.0,410.0,104.0,13.3,11.2,632,10402.0,2.0,12.0
 Anul 2001, Dolj,224.0,3267.0,3662.0,8.0,2.0,445.0,148.0,12.3,9.9,562,10679.0,0.0,13.0
 Anul 2002, Dolj,129.0,2957.0,3490.0,5.0,3.0,203.0,114.0,7.5,6.5,566,10318.0,0.0,13.0
 Anul 2003, Dolj,196.0,3176.0,3334.0,6.0,7.0,257.0,177.0,8.5,7.5,423,9960.0,2.0,13.0
 Anul 2004, Dolj,306.0,3270.0,3050.0,4.0,4.0,225.0,172.0,6.5,5.0,412,9958.0,1.0,13.0
 Anul 2005, Dolj,262.0,3569.0,2943.0,1.0,6.0,205.0,174.0,7.4,5.0,253,9837.0,1.0,14.0
 Anul 2006, Dolj,297.0,3476.0,2731.0,2.0,5.0,216.0,174.0,7.7,5.8,249,9854.0,0.0,14.0
 Anul 2007, Dolj,210.0,3575.0,2725.0,2.0,0.0,511.0,186.0,4.9,4.9,249,9642.0,0.0,14.0
 Anul 2008, Dolj,165.0,3604.0,2801.0,2.0,3.0,490.0,238.0,8.4,7.7,249,9372.0,5.0,14.0
 Anul 2009, Dolj,283.0,3630.0,2823.0,0.0,1.0,382.0,204.0,12.5,10.0,245,9582.0,2.0,14.0
 Anul 2010, Dolj,192.0,3563.0,2634.0,4.0,0.0,192.0,149.0,10.7,8.8,210,8708.0,1.0,14.0
 Anul 2011, Dolj,299.0,3309.0,2736.0,1.0,0.0,231.0,149.0,9.6,8.0,199,8470.0,0.0,15.0
 Anul 2012, Dolj,291.0,3287.0,2800.0,1.0,2.0,305.0,177.0,10.5,8.3,203,8245.0,0.0,15.0
 Anul 2013, Dolj,277.0,3554.0,3000.0,1.0,6.0,279.0,149.0,10.7,8.6,208,8304.0,0.0,15.0
 Anul 2014, Dolj,260.0,3319.0,2759.0,2.0,1.0,305.0,139.0,10.5,8.2,211,8445.0,0.0,18.0
 Anul 2015, Dolj,303.0,3504.0,2910.0,0.0,1.0,349.0,177.0,10.2,8.7,209,8154.0,0.0,19.0
 Anul 2016, Dolj,526.0,3418.0,2871.0,2.0,0.0,405.0,182.0,10.8,8.5,210,8042.0,0.0,20.0
 Anul 2017, Dolj,468.0,3501.0,3007.0,1.0,1.0,376.0,195.0,9.5,7.9,211,7953.0,0.0,20.0
 Anul 2018, Dolj,515.0,3485.0,3030.0,2.0,2.0,383.0,233.0,7.9,6.8,214,7876.0,0.0,21.0
 Anul 2019, Dolj,519.0,3523.0,3011.0,0.0,2.0,385.0,220.0,7.2,6.2,216,7997.0,0.0,24.0
 Anul 2020, Dolj,410.0,3147.0,2943.0,2.0,2.0,317.0,159.0,7.3,6.8,214,7981.0,0.0,24.0
 Anul 2021, Dolj,674.0,3009.0,2905.0,1.0,2.0,321.0,200.0,7.0,6.6,216,7877.0,0.0,24.0
 Anul 1992, Galati,182.0,3467.0,4193.0,16.0,20.0,851.0,161.0,7.5,11.8,559,7427.0,3.0,12.0
 Anul 1993, Galati,137.0,3316.0,4036.0,14.0,26.0,805.0,142.0,6.3,14.7,580,7589.0,4.0,12.0
 Anul 1994, Galati,141.0,3218.0,4147.0,31.0,32.0,676.0,205.0,8.7,17.7,576,7454.0,5.0,11.0
 Anul 1995, Galati,339.0,3258.0,3969.0,11.0,30.0,927.0,240.0,8.0,16.3,562,8007.0,2.0,11.0
 Anul 1996, Galati,261.0,3212.0,3780.0,19.0,20.0,949.0,220.0,5.9,14.0,565,8128.0,2.0,11.0
 Anul 1997, Galati,239.0,3361.0,3923.0,17.0,9.0,803.0,226.0,7.9,15.8,567,8158.0,3.0,12.0
 Anul 1998, Galati,204.0,3322.0,3926.0,16.0,15.0,1099.0,260.0,10.2,16.6,581,8185.0,3.0,12.0
 Anul 1999, Galati,154.0,3180.0,3995.0,20.0,15.0,1091.0,171.0,14.5,17.5,541,7812.0,7.0,12.0
 Anul 2000, Galati,176.0,3307.0,3861.0,15.0,17.0,1073.0,176.0,11.2,14.3,449,7558.0,7.0,12.0
 Anul 2001, Galati,161.0,3051.0,3526.0,12.0,6.0,880.0,165.0,9.8,11.9,445,7769.0,1.0,12.0
 Anul 2002, Galati,128.0,2755.0,3157.0,15.0,16.0,932.0,213.0,16.4,12.9,447,7366.0,1.0,12.0
 Anul 2003, Galati,202.0,2973.0,3386.0,11.0,14.0,1095.0,261.0,11.7,10.2,276,7367.0,5.0,11.0
 Anul 2004, Galati,347.0,3097.0,2947.0,11.0,13.0,1089.0,271.0,10.6,8.4,278,7387.0,2.0,11.0
 Anul 2005, Galati,331.0,3025.0,2966.0,13.0,10.0,992.0,280.0,8.8,7.7,259,7212.0,5.0,11.0
 Anul 2006, Galati,427.0,3040.0,2823.0,16.0,10.0,1259.0,252.0,7.8,6.4,248,7068.0,4.0,11.0
 Anul 2007, Galati,230.0,2929.0,2751.0,8.0,8.0,1236.0,279.0,5.8,5.6,249,7083.0,4.0,11.0
 Anul 2008, Galati,269.0,2970.0,2847.0,15.0,13.0,1139.0,315.0,6.8,6.3,249,6893.0,3.0,11.0
 Anul 2009, Galati,291.0,3061.0,2852.0,15.0,11.0,731.0,247.0,12.4,10.1,250,6746.0,3.0,11.0
 Anul 2010, Galati,235.0,2852.0,2621.0,11.0,9.0,717.0,288.0,11.4,9.2,203,6530.0,3.0,11.0
 Anul 2011, Galati,490.0,2350.0,2227.0,5.0,9.0,947.0,339.0,8.6,7.1,199,6787.0,5.0,10.0
 Anul 2012, Galati,480.0,2257.0,2377.0,3.0,8.0,826.0,279.0,10.0,7.6,197,6511.0,1.0,10.0
 Anul 2013, Galati,504.0,2672.0,2536.0,6.0,3.0,674.0,215.0,10.3,7.9,197,6599.0,0.0,10.0
 Anul 2014, Galati,418.0,2774.0,2428.0,6.0,4.0,533.0,215.0,10.6,8.2,192,6407.0,0.0,10.0
 Anul 2015, Galati,537.0,2882.0,2433.0,5.0,6.0,833.0,312.0,9.7,8.0,192,6150.0,1.0,10.0
 Anul 2016, Galati,831.0,2857.0,2550.0,7.0,13.0,645.0,281.0,10.5,8.8,188,6147.0,1.0,10.0
 Anul 2017, Galati,878.0,3065.0,2580.0,10.0,6.0,715.0,249.0,8.5,7.2,186,6019.0,0.0,10.0
 Anul 2018, Galati,1096.0,3123.0,2438.0,2.0,7.0,521.0,234.0,6.6,5.9,187,5947.0,0.0,10.0
 Anul 2019, Galati,1141.0,3323.0,2433.0,8.0,5.0,286.0,231.0,5.8,5.3,187,5940.0,1.0,10.0
 Anul 2020, Galati,860.0,2875.0,2330.0,6.0,9.0,709.0,99.0,6.7,6.2,188,5884.0,1.0,10.0
 Anul 2021, Galati,1477.0,2969.0,2342.0,8.0,11.0,680.0,223.0,6.4,6.4,188,6058.0,0.0,10.0
 Anul 1992, Giurgiu,20.0,1106.0,2263.0,4.0,7.0,121.0,108.0,7.2,9.6,377,2599.0,1.0,8.0
 Anul 1993, Giurgiu,22.0,1113.0,2258.0,3.0,4.0,116.0,124.0,11.2,17.8,384,2638.0,0.0,8.0
 Anul 1994, Giurgiu,6.0,1053.0,2211.0,4.0,13.0,213.0,183.0,5.7,15.1,381,2687.0,0.0,8.0
 Anul 1995, Giurgiu,37.0,1009.0,2259.0,5.0,13.0,183.0,157.0,6.2,13.8,390,2825.0,1.0,5.0
 Anul 1996, Giurgiu,35.0,940.0,2161.0,5.0,10.0,120.0,92.0,4.0,4.9,394,2880.0,0.0,5.0
 Anul 1997, Giurgiu,36.0,952.0,2142.0,8.0,10.0,175.0,166.0,6.3,6.3,382,2774.0,1.0,5.0
 Anul 1998, Giurgiu,24.0,916.0,1989.0,9.0,16.0,189.0,175.0,7.6,7.2,386,2830.0,4.0,5.0
 Anul 1999, Giurgiu,53.0,898.0,2027.0,2.0,12.0,141.0,135.0,10.1,7.2,374,2607.0,8.0,5.0
 Anul 2000, Giurgiu,52.0,908.0,1987.0,2.0,18.0,126.0,88.0,9.5,6.4,222,2605.0,2.0,5.0
 Anul 2001, Giurgiu,24.0,920.0,1949.0,2.0,14.0,115.0,79.0,7.8,5.6,221,2703.0,0.0,5.0
 Anul 2002, Giurgiu,16.0,795.0,1804.0,2.0,10.0,70.0,81.0,9.0,5.6,219,2554.0,0.0,5.0
 Anul 2003, Giurgiu,25.0,866.0,1847.0,2.0,5.0,93.0,61.0,8.7,6.2,134,2522.0,0.0,5.0
 Anul 2004, Giurgiu,15.0,838.0,1791.0,1.0,11.0,103.0,70.0,8.4,6.1,129,2678.0,0.0,5.0
 Anul 2005, Giurgiu,17.0,817.0,1745.0,5.0,8.0,122.0,88.0,6.5,4.6,107,2553.0,0.0,5.0
 Anul 2006, Giurgiu,27.0,858.0,1819.0,1.0,7.0,92.0,91.0,6.5,4.5,109,2531.0,0.0,5.0
 Anul 2007, Giurgiu,21.0,826.0,1792.0,5.0,3.0,96.0,92.0,4.7,4.2,107,2581.0,0.0,5.0
 Anul 2008, Giurgiu,15.0,879.0,1936.0,1.0,5.0,127.0,125.0,4.3,4.8,107,2676.0,0.0,5.0
 Anul 2009, Giurgiu,22.0,889.0,1940.0,3.0,3.0,128.0,109.0,8.3,6.0,107,2681.0,0.0,5.0
 Anul 2010, Giurgiu,28.0,865.0,1808.0,2.0,6.0,115.0,140.0,9.6,7.2,109,2555.0,0.0,5.0
 Anul 2011, Giurgiu,65.0,833.0,1784.0,3.0,10.0,159.0,141.0,6.2,5.3,86,2534.0,0.0,4.0
 Anul 2012, Giurgiu,82.0,818.0,1785.0,0.0,3.0,159.0,138.0,6.4,5.4,85,2473.0,0.0,3.0
 Anul 2013, Giurgiu,122.0,874.0,1735.0,1.0,4.0,148.0,116.0,6.8,5.6,85,2545.0,1.0,3.0
 Anul 2014, Giurgiu,92.0,708.0,1642.0,1.0,5.0,95.0,53.0,7.1,6.9,85,2531.0,0.0,3.0
 Anul 2015, Giurgiu,108.0,714.0,1770.0,3.0,8.0,110.0,116.0,6.6,6.4,88,2439.0,0.0,3.0
 Anul 2016, Giurgiu,143.0,749.0,1728.0,0.0,8.0,141.0,175.0,6.0,5.5,90,2507.0,0.0,3.0
 Anul 2017, Giurgiu,159.0,729.0,1789.0,4.0,10.0,139.0,216.0,3.3,3.2,87,2481.0,0.0,3.0
 Anul 2018, Giurgiu,210.0,769.0,1659.0,1.0,6.0,138.0,113.0,1.9,2.7,87,2429.0,0.0,3.0
 Anul 2019, Giurgiu,166.0,709.0,1680.0,0.0,4.0,134.0,176.0,1.8,2.3,87,2403.0,0.0,3.0
 Anul 2020, Giurgiu,144.0,709.0,1597.0,1.0,4.0,129.0,147.0,2.2,3.1,87,2353.0,0.0,4.0
 Anul 2021, Giurgiu,187.0,698.0,1645.0,1.0,3.0,124.0,239.0,2.6,3.6,86,2404.0,0.0,4.0
 Anul 1992, Gorj,73.0,1937.0,3107.0,15.0,19.0,360.0,184.0,1.6,4.0,848,4843.0,3.0,7.0
 Anul 1993, Gorj,46.0,1877.0,3039.0,11.0,17.0,398.0,182.0,1.5,6.8,857,4925.0,8.0,7.0
 Anul 1994, Gorj,37.0,1812.0,3083.0,15.0,24.0,520.0,229.0,1.9,6.6,848,5034.0,10.0,7.0
 Anul 1995, Gorj,64.0,1825.0,2823.0,6.0,26.0,475.0,244.0,2.0,6.1,851,5283.0,11.0,7.0
 Anul 1996, Gorj,86.0,1769.0,2720.0,7.0,13.0,505.0,278.0,1.5,3.3,847,5409.0,9.0,7.0
 Anul 1997, Gorj,77.0,1701.0,2797.0,13.0,11.0,512.0,346.0,9.4,10.1,830,5282.0,5.0,7.0
 Anul 1998, Gorj,52.0,1743.0,2731.0,13.0,19.0,440.0,310.0,12.8,13.2,854,5404.0,6.0,7.0
 Anul 1999, Gorj,40.0,1682.0,2530.0,9.0,16.0,277.0,225.0,13.8,14.8,809,5134.0,11.0,7.0
 Anul 2000, Gorj,58.0,1616.0,2597.0,9.0,16.0,178.0,114.0,13.1,12.6,785,5133.0,1.0,7.0
 Anul 2001, Gorj,28.0,1503.0,2337.0,8.0,12.0,249.0,168.0,10.2,10.5,780,5259.0,4.0,7.0
 Anul 2002, Gorj,33.0,1564.0,2235.0,12.0,17.0,246.0,195.0,10.2,11.5,525,4950.0,1.0,8.0
 Anul 2003, Gorj,52.0,1551.0,2222.0,10.0,14.0,399.0,215.0,9.5,8.7,219,4911.0,1.0,8.0
 Anul 2004, Gorj,38.0,1676.0,1977.0,16.0,11.0,318.0,195.0,8.6,7.3,218,4985.0,1.0,8.0
 Anul 2005, Gorj,43.0,1738.0,1878.0,9.0,17.0,313.0,208.0,10.0,8.6,185,4944.0,0.0,8.0
 Anul 2006, Gorj,46.0,1605.0,1729.0,8.0,15.0,346.0,163.0,9.6,8.0,175,4850.0,0.0,8.0
 Anul 2007, Gorj,45.0,1672.0,1711.0,11.0,6.0,235.0,144.0,5.2,6.0,119,4963.0,0.0,8.0
 Anul 2008, Gorj,50.0,1649.0,1634.0,10.0,8.0,181.0,136.0,6.8,7.9,120,5015.0,1.0,8.0
 Anul 2009, Gorj,57.0,1555.0,1678.0,7.0,9.0,365.0,255.0,10.8,10.5,116,4736.0,0.0,8.0
 Anul 2010, Gorj,55.0,1627.0,1497.0,6.0,4.0,212.0,203.0,9.9,10.2,110,4409.0,1.0,8.0
 Anul 2011, Gorj,84.0,1452.0,1471.0,8.0,5.0,216.0,184.0,7.8,7.8,110,4347.0,0.0,7.0
 Anul 2012, Gorj,71.0,1481.0,1487.0,5.0,6.0,403.0,203.0,7.8,7.5,116,4448.0,1.0,7.0
 Anul 2013, Gorj,84.0,1496.0,1456.0,6.0,2.0,405.0,220.0,8.5,7.8,116,4541.0,0.0,8.0
 Anul 2014, Gorj,69.0,1374.0,1438.0,2.0,5.0,350.0,223.0,7.7,7.1,120,4460.0,0.0,8.0
 Anul 2015, Gorj,113.0,1433.0,1422.0,5.0,4.0,357.0,227.0,8.1,7.2,120,4296.0,1.0,8.0
 Anul 2016, Gorj,143.0,1531.0,1443.0,4.0,4.0,330.0,285.0,8.2,6.5,117,4162.0,0.0,8.0
 Anul 2017, Gorj,148.0,1443.0,1477.0,3.0,4.0,404.0,285.0,6.6,6.0,117,4084.0,0.0,10.0
 Anul 2018, Gorj,171.0,1454.0,1454.0,4.0,2.0,385.0,289.0,4.4,4.3,117,3983.0,0.0,8.0
 Anul 2019, Gorj,204.0,1373.0,1468.0,2.0,2.0,399.0,281.0,3.4,3.6,116,3891.0,0.0,8.0
 Anul 2020, Gorj,140.0,1250.0,1444.0,2.0,5.0,260.0,222.0,3.9,3.8,116,3809.0,0.0,8.0
 Anul 2021, Gorj,277.0,1276.0,1363.0,6.0,6.0,295.0,240.0,3.5,3.7,116,3841.0,0.0,8.0
 Anul 1992, Harghita,916.0,1750.0,2433.0,10.0,16.0,262.0,84.0,7.5,10.1,583,4895.0,0.0,7.0
 Anul 1993, Harghita,407.0,1597.0,2151.0,16.0,21.0,288.0,107.0,11.3,13.0,599,4893.0,11.0,7.0
 Anul 1994, Harghita,379.0,1567.0,2259.0,12.0,19.0,348.0,125.0,9.9,11.1,609,5092.0,5.0,7.0
 Anul 1995, Harghita,722.0,1469.0,2231.0,2.0,8.0,305.0,107.0,10.4,11.2,606,5249.0,11.0,7.0
 Anul 1996, Harghita,362.0,1430.0,2219.0,8.0,10.0,339.0,101.0,8.2,7.9,647,5556.0,4.0,7.0
 Anul 1997, Harghita,322.0,1602.0,2316.0,14.0,17.0,287.0,134.0,9.5,8.1,644,5440.0,2.0,7.0
 Anul 1998, Harghita,213.0,1555.0,2319.0,7.0,13.0,307.0,142.0,10.6,10.1,644,5383.0,6.0,7.0
 Anul 1999, Harghita,146.0,1548.0,2191.0,15.0,15.0,262.0,103.0,12.0,9.6,608,5298.0,10.0,7.0
 Anul 2000, Harghita,179.0,1505.0,2232.0,14.0,13.0,218.0,112.0,11.2,8.7,598,5119.0,6.0,7.0
 Anul 2001, Harghita,154.0,1536.0,2093.0,15.0,16.0,234.0,94.0,10.1,6.9,588,5201.0,0.0,7.0
 Anul 2002, Harghita,160.0,1386.0,2068.0,12.0,9.0,225.0,111.0,8.7,6.7,583,4652.0,2.0,7.0
