YEARS,COUNTIES,EMIGRANTS,BORN_URBAN,BORN_RURAL,DEAD_URBAN,DEAD_RURAL,DIVORCES_URBAN,DIVORCES_RURAL,UNEMPLOYMENT_RATE_MALE,UNEMPLOYMENT_RATE_FEMALE,EDUCATIONAL_UNITS,TEACHING_STAFF,CONFLICTS_OF_INTEREST,HOSPITALS
 Anul 2014, Arges,175.0,2524.0,2751.0,13.0,17.0,626.0,278.0,6.4,5.4,210,7111.0,0.0,20.0
 Anul 2015, Arges,250.0,2620.0,2848.0,5.0,17.0,660.0,329.0,5.6,4.5,208,6854.0,4.0,20.0
 Anul 2016, Arges,367.0,2700.0,2847.0,6.0,18.0,571.0,292.0,5.3,4.1,212,6749.0,2.0,20.0
 Anul 2017, Arges,360.0,2712.0,2866.0,12.0,16.0,746.0,447.0,4.2,3.7,213,6743.0,2.0,20.0
 Anul 2018, Arges,406.0,2689.0,2920.0,4.0,12.0,705.0,386.0,3.4,3.0,214,6627.0,1.0,18.0
 Anul 2019, Arges,436.0,2744.0,2852.0,7.0,14.0,728.0,451.0,3.0,3.0,214,6658.0,3.0,18.0
 Anul 2020, Arges,348.0,2388.0,2820.0,4.0,12.0,470.0,297.0,3.6,4.1,215,6669.0,0.0,17.0
 Anul 2021, Arges,491.0,2186.0,2698.0,8.0,20.0,556.0,292.0,3.4,3.9,215,6664.0,0.0,17.0
 Anul 1992, Bacau,200.0,4277.0,6131.0,26.0,39.0,637.0,209.0,7.9,11.3,1133,9311.0,14.0,8.0
 Anul 1993, Bacau,116.0,3830.0,5817.0,14.0,27.0,814.0,304.0,13.2,11.7,1151,9251.0,12.0,8.0
 Anul 1994, Bacau,151.0,3854.0,6015.0,22.0,38.0,1068.0,454.0,11.2,12.7,1147,9496.0,8.0,7.0
 Anul 1995, Bacau,239.0,3638.0,5647.0,20.0,32.0,960.0,371.0,9.5,11.9,1147,9712.0,7.0,8.0
 Anul 1996, Bacau,262.0,3533.0,5536.0,10.0,42.0,944.0,389.0,7.5,7.7,1176,9848.0,12.0,8.0
 Anul 1997, Bacau,294.0,3527.0,5578.0,27.0,46.0,1055.0,428.0,11.0,9.7,1113,9587.0,0.0,8.0
 Anul 1998, Bacau,269.0,3663.0,5722.0,22.0,40.0,1402.0,613.0,11.6,9.6,1137,9537.0,6.0,8.0
 Anul 1999, Bacau,264.0,3536.0,5699.0,16.0,38.0,1202.0,507.0,13.6,12.7,1083,9332.0,27.0,8.0
 Anul 2000, Bacau,351.0,3413.0,5568.0,16.0,28.0,1081.0,442.0,10.4,8.4,672,9149.0,5.0,8.0
 Anul 2001, Bacau,314.0,3188.0,5227.0,15.0,29.0,985.0,435.0,8.5,7.9,680,9138.0,4.0,10.0
 Anul 2002, Bacau,196.0,3081.0,4907.0,21.0,31.0,1081.0,502.0,10.0,8.7,666,8722.0,0.0,10.0
 Anul 2003, Bacau,355.0,2970.0,4948.0,16.0,44.0,1035.0,525.0,7.1,7.1,394,8485.0,5.0,10.0
 Anul 2004, Bacau,457.0,3129.0,4715.0,21.0,20.0,1168.0,669.0,8.2,5.7,392,8553.0,1.0,10.0
 Anul 2005, Bacau,479.0,3399.0,4526.0,14.0,17.0,946.0,475.0,7.5,4.9,392,8412.0,3.0,10.0
