Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 2188
Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 614
Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 420
Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 540
Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 1052
Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 1087
Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 971
Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 750
Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 690
Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 1039
Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 668
Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 360
Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 538
Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 578
Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 453
Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 663
Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 507
Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 549
Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 644
Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 602
Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 1107
Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 1414
Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 1646
Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 1214
Total, Regiunea SUD-MUNTENIA, Anul 2015, Numar persoane, 1590
Total, Regiunea SUD-MUNTENIA, Anul 2016, Numar persoane, 2393
Total, Regiunea SUD-MUNTENIA, Anul 2017, Numar persoane, 2351
Total, Regiunea SUD-MUNTENIA, Anul 2018, Numar persoane, 2816
Total, Regiunea SUD-MUNTENIA, Anul 2019, Numar persoane, 2664
Total, Regiunea SUD-MUNTENIA, Anul 2020, Numar persoane, 2080
